[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:0 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:93: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.780 (BCE:0.692 REG:0.0882 LB:0.0000) | VAL_AUC:0.6751 PRC:0.6677 F1:0.6400
Ep 02 [lr=6.50e-05] | L:0.691 (BCE:0.643 REG:0.0479 LB:0.0000) | VAL_AUC:0.7511 PRC:0.7446 F1:0.6256
Ep 03 [lr=1.10e-04] | L:0.611 (BCE:0.606 REG:0.0050 LB:0.0000) | VAL_AUC:0.7598 PRC:0.7567 F1:0.6966
Ep 04 [lr=1.55e-04] | L:0.587 (BCE:0.584 REG:0.0020 LB:0.0000) | VAL_AUC:0.7975 PRC:0.7873 F1:0.7318
Ep 05 [lr=2.00e-04] | L:0.555 (BCE:0.553 REG:0.0024 LB:0.0000) | VAL_AUC:0.8152 PRC:0.8060 F1:0.7420
Ep 06 [lr=2.00e-04] | L:0.536 (BCE:0.534 REG:0.0021 LB:0.0000) | VAL_AUC:0.8204 PRC:0.8102 F1:0.7360
Ep 07 [lr=2.00e-04] | L:0.525 (BCE:0.523 REG:0.0020 LB:0.0000) | VAL_AUC:0.8346 PRC:0.8243 F1:0.7595
Ep 08 [lr=2.00e-04] | L:0.516 (BCE:0.514 REG:0.0021 LB:0.0000) | VAL_AUC:0.8416 PRC:0.8329 F1:0.7697
Ep 09 [lr=2.00e-04] | L:0.504 (BCE:0.502 REG:0.0022 LB:0.0000) | VAL_AUC:0.8495 PRC:0.8405 F1:0.7757
Ep 10 [lr=2.00e-04] | L:0.492 (BCE:0.490 REG:0.0023 LB:0.0000) | VAL_AUC:0.8588 PRC:0.8495 F1:0.7854
Ep 11 [lr=2.00e-04] | L:0.478 (BCE:0.476 REG:0.0023 LB:0.0000) | VAL_AUC:0.8657 PRC:0.8569 F1:0.7899
Ep 12 [lr=2.00e-04] | L:0.467 (BCE:0.464 REG:0.0023 LB:0.0000) | VAL_AUC:0.8713 PRC:0.8617 F1:0.8008
Ep 13 [lr=2.00e-04] | L:0.455 (BCE:0.453 REG:0.0022 LB:0.0000) | VAL_AUC:0.8750 PRC:0.8655 F1:0.8040
Ep 14 [lr=2.00e-04] | L:0.446 (BCE:0.444 REG:0.0021 LB:0.0000) | VAL_AUC:0.8808 PRC:0.8713 F1:0.8032
Ep 15 [lr=2.00e-04] | L:0.438 (BCE:0.436 REG:0.0021 LB:0.0000) | VAL_AUC:0.8817 PRC:0.8715 F1:0.8109
Ep 16 [lr=2.00e-04] | L:0.432 (BCE:0.429 REG:0.0021 LB:0.0000) | VAL_AUC:0.8841 PRC:0.8750 F1:0.8051
Ep 17 [lr=2.00e-04] | L:0.426 (BCE:0.424 REG:0.0020 LB:0.0000) | VAL_AUC:0.8854 PRC:0.8758 F1:0.8123
Ep 18 [lr=2.00e-04] | L:0.421 (BCE:0.419 REG:0.0021 LB:0.0000) | VAL_AUC:0.8877 PRC:0.8791 F1:0.8184
Ep 19 [lr=2.00e-04] | L:0.416 (BCE:0.414 REG:0.0021 LB:0.0000) | VAL_AUC:0.8879 PRC:0.8802 F1:0.8151
Ep 20 [lr=2.00e-04] | L:0.413 (BCE:0.411 REG:0.0019 LB:0.0000) | VAL_AUC:0.8889 PRC:0.8809 F1:0.8131
Ep 21 [lr=2.00e-04] | L:0.409 (BCE:0.407 REG:0.0019 LB:0.0000) | VAL_AUC:0.8924 PRC:0.8845 F1:0.8209
Ep 22 [lr=2.00e-04] | L:0.405 (BCE:0.403 REG:0.0019 LB:0.0000) | VAL_AUC:0.8929 PRC:0.8855 F1:0.8181
Ep 23 [lr=2.00e-04] | L:0.402 (BCE:0.400 REG:0.0018 LB:0.0000) | VAL_AUC:0.8929 PRC:0.8853 F1:0.8170
Ep 24 [lr=2.00e-04] | L:0.399 (BCE:0.397 REG:0.0019 LB:0.0000) | VAL_AUC:0.8940 PRC:0.8860 F1:0.8233
Ep 25 [lr=2.00e-04] | L:0.396 (BCE:0.394 REG:0.0018 LB:0.0000) | VAL_AUC:0.8949 PRC:0.8871 F1:0.8224
Ep 26 [lr=2.00e-04] | L:0.393 (BCE:0.392 REG:0.0018 LB:0.0000) | VAL_AUC:0.8967 PRC:0.8885 F1:0.8223
Ep 27 [lr=2.00e-04] | L:0.391 (BCE:0.389 REG:0.0018 LB:0.0000) | VAL_AUC:0.8961 PRC:0.8883 F1:0.8228
Ep 28 [lr=2.00e-04] | L:0.389 (BCE:0.387 REG:0.0017 LB:0.0000) | VAL_AUC:0.8957 PRC:0.8880 F1:0.8227
Ep 29 [lr=2.00e-04] | L:0.386 (BCE:0.384 REG:0.0018 LB:0.0000) | VAL_AUC:0.8959 PRC:0.8880 F1:0.8231
Ep 30 [lr=2.00e-04] | L:0.383 (BCE:0.381 REG:0.0018 LB:0.0000) | VAL_AUC:0.8974 PRC:0.8903 F1:0.8252
Ep 31 [lr=2.00e-04] | L:0.382 (BCE:0.380 REG:0.0018 LB:0.0000) | VAL_AUC:0.8978 PRC:0.8904 F1:0.8201
Ep 32 [lr=2.00e-04] | L:0.379 (BCE:0.378 REG:0.0017 LB:0.0000) | VAL_AUC:0.8978 PRC:0.8908 F1:0.8257
Ep 33 [lr=2.00e-04] | L:0.377 (BCE:0.375 REG:0.0018 LB:0.0000) | VAL_AUC:0.8981 PRC:0.8909 F1:0.8258
Ep 34 [lr=2.00e-04] | L:0.374 (BCE:0.373 REG:0.0018 LB:0.0000) | VAL_AUC:0.8989 PRC:0.8917 F1:0.8293
Ep 35 [lr=2.00e-04] | L:0.372 (BCE:0.370 REG:0.0018 LB:0.0000) | VAL_AUC:0.8997 PRC:0.8922 F1:0.8256
Ep 36 [lr=2.00e-04] | L:0.371 (BCE:0.369 REG:0.0017 LB:0.0000) | VAL_AUC:0.8989 PRC:0.8908 F1:0.8224
Ep 37 [lr=2.00e-04] | L:0.367 (BCE:0.365 REG:0.0017 LB:0.0000) | VAL_AUC:0.8993 PRC:0.8926 F1:0.8262
Ep 38 [lr=2.00e-04] | L:0.366 (BCE:0.364 REG:0.0018 LB:0.0000) | VAL_AUC:0.8994 PRC:0.8923 F1:0.8273
Ep 39 [lr=1.00e-04] | L:0.364 (BCE:0.362 REG:0.0017 LB:0.0000) | VAL_AUC:0.8992 PRC:0.8916 F1:0.8240
Ep 40 [lr=1.00e-04] | L:0.352 (BCE:0.351 REG:0.0017 LB:0.0000) | VAL_AUC:0.9008 PRC:0.8935 F1:0.8236
Ep 41 [lr=1.00e-04] | L:0.350 (BCE:0.348 REG:0.0016 LB:0.0000) | VAL_AUC:0.9006 PRC:0.8936 F1:0.8244
Ep 42 [lr=1.00e-04] | L:0.349 (BCE:0.347 REG:0.0016 LB:0.0000) | VAL_AUC:0.9003 PRC:0.8932 F1:0.8264
Ep 43 [lr=1.00e-04] | L:0.348 (BCE:0.346 REG:0.0016 LB:0.0000) | VAL_AUC:0.9010 PRC:0.8937 F1:0.8286
Ep 44 [lr=1.00e-04] | L:0.346 (BCE:0.344 REG:0.0016 LB:0.0000) | VAL_AUC:0.9011 PRC:0.8940 F1:0.8268
Ep 45 [lr=1.00e-04] | L:0.344 (BCE:0.343 REG:0.0016 LB:0.0000) | VAL_AUC:0.9012 PRC:0.8938 F1:0.8294
Ep 46 [lr=1.00e-04] | L:0.344 (BCE:0.342 REG:0.0016 LB:0.0000) | VAL_AUC:0.9007 PRC:0.8927 F1:0.8263
Ep 47 [lr=1.00e-04] | L:0.342 (BCE:0.341 REG:0.0016 LB:0.0000) | VAL_AUC:0.9007 PRC:0.8929 F1:0.8282
Ep 48 [lr=5.00e-05] | L:0.341 (BCE:0.339 REG:0.0016 LB:0.0000) | VAL_AUC:0.9004 PRC:0.8926 F1:0.8235
Ep 49 [lr=5.00e-05] | L:0.334 (BCE:0.332 REG:0.0016 LB:0.0000) | VAL_AUC:0.9014 PRC:0.8937 F1:0.8261
Ep 50 [lr=5.00e-05] | L:0.333 (BCE:0.332 REG:0.0016 LB:0.0000) | VAL_AUC:0.9014 PRC:0.8934 F1:0.8279
Ep 51 [lr=5.00e-05] | L:0.333 (BCE:0.331 REG:0.0016 LB:0.0000) | VAL_AUC:0.9016 PRC:0.8936 F1:0.8271
Ep 52 [lr=5.00e-05] | L:0.332 (BCE:0.331 REG:0.0016 LB:0.0000) | VAL_AUC:0.9013 PRC:0.8934 F1:0.8256
Ep 53 [lr=5.00e-05] | L:0.331 (BCE:0.330 REG:0.0016 LB:0.0000) | VAL_AUC:0.9015 PRC:0.8941 F1:0.8251
Ep 54 [lr=5.00e-05] | L:0.331 (BCE:0.329 REG:0.0016 LB:0.0000) | VAL_AUC:0.9011 PRC:0.8933 F1:0.8257
Ep 55 [lr=2.50e-05] | L:0.330 (BCE:0.328 REG:0.0016 LB:0.0000) | VAL_AUC:0.9011 PRC:0.8933 F1:0.8265
Ep 56 [lr=2.50e-05] | L:0.327 (BCE:0.326 REG:0.0016 LB:0.0000) | VAL_AUC:0.9013 PRC:0.8935 F1:0.8272
Ep 57 [lr=2.50e-05] | L:0.326 (BCE:0.324 REG:0.0016 LB:0.0000) | VAL_AUC:0.9011 PRC:0.8932 F1:0.8264
Ep 58 [lr=2.50e-05] | L:0.325 (BCE:0.324 REG:0.0016 LB:0.0000) | VAL_AUC:0.9010 PRC:0.8930 F1:0.8251
Ep 59 [lr=1.25e-05] | L:0.325 (BCE:0.324 REG:0.0016 LB:0.0000) | VAL_AUC:0.9015 PRC:0.8935 F1:0.8275
Ep 60 [lr=1.25e-05] | L:0.324 (BCE:0.322 REG:0.0016 LB:0.0000) | VAL_AUC:0.9014 PRC:0.8934 F1:0.8259
Ep 61 [lr=1.25e-05] | L:0.322 (BCE:0.321 REG:0.0016 LB:0.0000) | VAL_AUC:0.9014 PRC:0.8934 F1:0.8259
Early stop at epoch 61

最优 AUC: 0.9016  模型: results_operator_moe/A375/no_moe_r8_k4_Fold0_v1.pt
