[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold3_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold3_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: MCF7 | Fold: 3 | Device: cuda:3
   Train: 164,743  Val: 41,942
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6380 | VAL_AUC: 0.7718 | PRC: 0.7616 | F1: 0.7002
Ep 02 | Loss: 0.5693 | VAL_AUC: 0.8179 | PRC: 0.8050 | F1: 0.7387
Ep 03 | Loss: 0.5229 | VAL_AUC: 0.8385 | PRC: 0.8279 | F1: 0.7677
Ep 04 | Loss: 0.5057 | VAL_AUC: 0.8470 | PRC: 0.8365 | F1: 0.7517
Ep 05 | Loss: 0.4939 | VAL_AUC: 0.8520 | PRC: 0.8429 | F1: 0.7614
Ep 06 | Loss: 0.4878 | VAL_AUC: 0.8543 | PRC: 0.8453 | F1: 0.7815
Ep 07 | Loss: 0.4800 | VAL_AUC: 0.8590 | PRC: 0.8527 | F1: 0.7763
Ep 08 | Loss: 0.4763 | VAL_AUC: 0.8607 | PRC: 0.8534 | F1: 0.7690
Ep 09 | Loss: 0.4714 | VAL_AUC: 0.8615 | PRC: 0.8553 | F1: 0.7874
Ep 10 | Loss: 0.4686 | VAL_AUC: 0.8596 | PRC: 0.8525 | F1: 0.7735
Ep 11 | Loss: 0.4662 | VAL_AUC: 0.8626 | PRC: 0.8567 | F1: 0.7821
Ep 12 | Loss: 0.4636 | VAL_AUC: 0.8618 | PRC: 0.8548 | F1: 0.7754
Ep 13 | Loss: 0.4615 | VAL_AUC: 0.8616 | PRC: 0.8576 | F1: 0.7658
Ep 14 | Loss: 0.4598 | VAL_AUC: 0.8651 | PRC: 0.8584 | F1: 0.7789
Ep 15 | Loss: 0.4588 | VAL_AUC: 0.8662 | PRC: 0.8596 | F1: 0.7822
Ep 16 | Loss: 0.4572 | VAL_AUC: 0.8675 | PRC: 0.8612 | F1: 0.7905
Ep 17 | Loss: 0.4558 | VAL_AUC: 0.8686 | PRC: 0.8642 | F1: 0.7886
Ep 18 | Loss: 0.4539 | VAL_AUC: 0.8691 | PRC: 0.8637 | F1: 0.7829
Ep 19 | Loss: 0.4535 | VAL_AUC: 0.8694 | PRC: 0.8640 | F1: 0.7830
