[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold4_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold4_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: MCF7 | Fold: 4 | Device: cuda:3
   Train: 166,115  Val: 40,570
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6356 | VAL_AUC: 0.7744 | PRC: 0.7702 | F1: 0.6968
Ep 02 | Loss: 0.5687 | VAL_AUC: 0.8238 | PRC: 0.8157 | F1: 0.7595
Ep 03 | Loss: 0.5237 | VAL_AUC: 0.8432 | PRC: 0.8364 | F1: 0.7688
Ep 04 | Loss: 0.5033 | VAL_AUC: 0.8508 | PRC: 0.8452 | F1: 0.7678
Ep 05 | Loss: 0.4939 | VAL_AUC: 0.8547 | PRC: 0.8506 | F1: 0.7793
Ep 06 | Loss: 0.4856 | VAL_AUC: 0.8595 | PRC: 0.8550 | F1: 0.7621
Ep 07 | Loss: 0.4793 | VAL_AUC: 0.8599 | PRC: 0.8542 | F1: 0.7886
Ep 08 | Loss: 0.4761 | VAL_AUC: 0.8652 | PRC: 0.8620 | F1: 0.7848
Ep 09 | Loss: 0.4721 | VAL_AUC: 0.8656 | PRC: 0.8625 | F1: 0.7926
Ep 10 | Loss: 0.4691 | VAL_AUC: 0.8656 | PRC: 0.8631 | F1: 0.7755
Ep 11 | Loss: 0.4662 | VAL_AUC: 0.8663 | PRC: 0.8631 | F1: 0.7922
Ep 12 | Loss: 0.4645 | VAL_AUC: 0.8639 | PRC: 0.8603 | F1: 0.7896
Ep 13 | Loss: 0.4618 | VAL_AUC: 0.8688 | PRC: 0.8667 | F1: 0.7816
Ep 14 | Loss: 0.4612 | VAL_AUC: 0.8671 | PRC: 0.8651 | F1: 0.7868
Ep 15 | Loss: 0.4594 | VAL_AUC: 0.8688 | PRC: 0.8677 | F1: 0.7908
Ep 16 | Loss: 0.4567 | VAL_AUC: 0.8697 | PRC: 0.8675 | F1: 0.7950
Ep 17 | Loss: 0.4556 | VAL_AUC: 0.8695 | PRC: 0.8671 | F1: 0.7858
Ep 18 | Loss: 0.4537 | VAL_AUC: 0.8689 | PRC: 0.8668 | F1: 0.7737
Ep 19 | Loss: 0.4526 | VAL_AUC: 0.8707 | PRC: 0.8690 | F1: 0.7941
Ep 20 | Loss: 0.4496 | VAL_AUC: 0.8701 | PRC: 0.8666 | F1: 0.7908
Ep 21 | Loss: 0.4482 | VAL_AUC: 0.8726 | PRC: 0.8706 | F1: 0.7973
Ep 22 | Loss: 0.4472 | VAL_AUC: 0.8729 | PRC: 0.8702 | F1: 0.7918
Ep 23 | Loss: 0.4448 | VAL_AUC: 0.8729 | PRC: 0.8696 | F1: 0.8011
Ep 24 | Loss: 0.4426 | VAL_AUC: 0.8748 | PRC: 0.8724 | F1: 0.8022
Ep 25 | Loss: 0.4421 | VAL_AUC: 0.8767 | PRC: 0.8743 | F1: 0.8029
Ep 26 | Loss: 0.4392 | VAL_AUC: 0.8760 | PRC: 0.8739 | F1: 0.7980
Ep 27 | Loss: 0.4379 | VAL_AUC: 0.8771 | PRC: 0.8737 | F1: 0.8042
Ep 28 | Loss: 0.4358 | VAL_AUC: 0.8771 | PRC: 0.8739 | F1: 0.7980
Ep 29 | Loss: 0.4358 | VAL_AUC: 0.8783 | PRC: 0.8752 | F1: 0.8023
Ep 30 | Loss: 0.4328 | VAL_AUC: 0.8775 | PRC: 0.8744 | F1: 0.8070
Ep 31 | Loss: 0.4325 | VAL_AUC: 0.8795 | PRC: 0.8767 | F1: 0.7990
Ep 32 | Loss: 0.4307 | VAL_AUC: 0.8793 | PRC: 0.8769 | F1: 0.8025
Ep 33 | Loss: 0.4301 | VAL_AUC: 0.8805 | PRC: 0.8777 | F1: 0.8022
Ep 34 | Loss: 0.4271 | VAL_AUC: 0.8817 | PRC: 0.8786 | F1: 0.8057
Ep 35 | Loss: 0.4265 | VAL_AUC: 0.8798 | PRC: 0.8777 | F1: 0.8051
Ep 36 | Loss: 0.4245 | VAL_AUC: 0.8797 | PRC: 0.8776 | F1: 0.7965
Ep 37 | Loss: 0.4242 | VAL_AUC: 0.8823 | PRC: 0.8788 | F1: 0.8020
Ep 38 | Loss: 0.4213 | VAL_AUC: 0.8833 | PRC: 0.8806 | F1: 0.8050
Ep 39 | Loss: 0.4209 | VAL_AUC: 0.8823 | PRC: 0.8795 | F1: 0.8029
Ep 40 | Loss: 0.4176 | VAL_AUC: 0.8822 | PRC: 0.8779 | F1: 0.8029
Ep 41 | Loss: 0.4169 | VAL_AUC: 0.8820 | PRC: 0.8788 | F1: 0.8027
Ep 42 | Loss: 0.4163 | VAL_AUC: 0.8829 | PRC: 0.8796 | F1: 0.8078
Ep 43 | Loss: 0.4077 | VAL_AUC: 0.8836 | PRC: 0.8806 | F1: 0.8053
