[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold2_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold2_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: MCF7 | Fold: 2 | Device: cuda:3
   Train: 166,507  Val: 40,178
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6373 | VAL_AUC: 0.7682 | PRC: 0.7620 | F1: 0.6514
Ep 02 | Loss: 0.5681 | VAL_AUC: 0.8137 | PRC: 0.8025 | F1: 0.7302
Ep 03 | Loss: 0.5246 | VAL_AUC: 0.8332 | PRC: 0.8229 | F1: 0.7509
Ep 04 | Loss: 0.5068 | VAL_AUC: 0.8417 | PRC: 0.8332 | F1: 0.7643
Ep 05 | Loss: 0.4963 | VAL_AUC: 0.8498 | PRC: 0.8441 | F1: 0.7603
Ep 06 | Loss: 0.4880 | VAL_AUC: 0.8462 | PRC: 0.8428 | F1: 0.7699
Ep 07 | Loss: 0.4824 | VAL_AUC: 0.8552 | PRC: 0.8500 | F1: 0.7762
Ep 08 | Loss: 0.4776 | VAL_AUC: 0.8594 | PRC: 0.8548 | F1: 0.7832
Ep 09 | Loss: 0.4728 | VAL_AUC: 0.8622 | PRC: 0.8600 | F1: 0.7884
Ep 10 | Loss: 0.4700 | VAL_AUC: 0.8620 | PRC: 0.8589 | F1: 0.7787
Ep 11 | Loss: 0.4675 | VAL_AUC: 0.8624 | PRC: 0.8599 | F1: 0.7865
Ep 12 | Loss: 0.4657 | VAL_AUC: 0.8648 | PRC: 0.8629 | F1: 0.7784
Ep 13 | Loss: 0.4627 | VAL_AUC: 0.8660 | PRC: 0.8635 | F1: 0.7790
Ep 14 | Loss: 0.4610 | VAL_AUC: 0.8665 | PRC: 0.8642 | F1: 0.7914
Ep 15 | Loss: 0.4594 | VAL_AUC: 0.8676 | PRC: 0.8653 | F1: 0.7895
Ep 16 | Loss: 0.4577 | VAL_AUC: 0.8674 | PRC: 0.8647 | F1: 0.7874
Ep 17 | Loss: 0.4557 | VAL_AUC: 0.8666 | PRC: 0.8629 | F1: 0.7763
Ep 18 | Loss: 0.4551 | VAL_AUC: 0.8667 | PRC: 0.8632 | F1: 0.7844
Ep 19 | Loss: 0.4532 | VAL_AUC: 0.8677 | PRC: 0.8648 | F1: 0.7867
Ep 20 | Loss: 0.4517 | VAL_AUC: 0.8699 | PRC: 0.8673 | F1: 0.7884
Ep 21 | Loss: 0.4508 | VAL_AUC: 0.8687 | PRC: 0.8643 | F1: 0.7917
Ep 22 | Loss: 0.4482 | VAL_AUC: 0.8698 | PRC: 0.8660 | F1: 0.7933
Ep 23 | Loss: 0.4470 | VAL_AUC: 0.8721 | PRC: 0.8692 | F1: 0.7886
Ep 24 | Loss: 0.4455 | VAL_AUC: 0.8717 | PRC: 0.8690 | F1: 0.7866
Ep 25 | Loss: 0.4439 | VAL_AUC: 0.8738 | PRC: 0.8706 | F1: 0.7934
Ep 26 | Loss: 0.4418 | VAL_AUC: 0.8744 | PRC: 0.8711 | F1: 0.7912
Ep 27 | Loss: 0.4403 | VAL_AUC: 0.8743 | PRC: 0.8713 | F1: 0.7983
Ep 28 | Loss: 0.4390 | VAL_AUC: 0.8747 | PRC: 0.8717 | F1: 0.7942
Ep 29 | Loss: 0.4367 | VAL_AUC: 0.8759 | PRC: 0.8729 | F1: 0.8027
Ep 30 | Loss: 0.4357 | VAL_AUC: 0.8749 | PRC: 0.8716 | F1: 0.7862
Ep 31 | Loss: 0.4339 | VAL_AUC: 0.8757 | PRC: 0.8723 | F1: 0.7919
Ep 32 | Loss: 0.4322 | VAL_AUC: 0.8761 | PRC: 0.8724 | F1: 0.7956
Ep 33 | Loss: 0.4311 | VAL_AUC: 0.8763 | PRC: 0.8732 | F1: 0.7922
Ep 34 | Loss: 0.4304 | VAL_AUC: 0.8757 | PRC: 0.8723 | F1: 0.7944
Ep 35 | Loss: 0.4276 | VAL_AUC: 0.8762 | PRC: 0.8731 | F1: 0.8014
Ep 36 | Loss: 0.4264 | VAL_AUC: 0.8754 | PRC: 0.8719 | F1: 0.7984
Ep 37 | Loss: 0.4262 | VAL_AUC: 0.8780 | PRC: 0.8738 | F1: 0.7983
Ep 38 | Loss: 0.4238 | VAL_AUC: 0.8748 | PRC: 0.8726 | F1: 0.7912
Ep 39 | Loss: 0.4236 | VAL_AUC: 0.8768 | PRC: 0.8736 | F1: 0.7972
Ep 40 | Loss: 0.4217 | VAL_AUC: 0.8771 | PRC: 0.8735 | F1: 0.7976
Ep 41 | Loss: 0.4209 | VAL_AUC: 0.8778 | PRC: 0.8741 | F1: 0.7948
Ep 42 | Loss: 0.4129 | VAL_AUC: 0.8785 | PRC: 0.8748 | F1: 0.7997
Ep 43 | Loss: 0.4109 | VAL_AUC: 0.8798 | PRC: 0.8765 | F1: 0.7992
Ep 44 | Loss: 0.4088 | VAL_AUC: 0.8788 | PRC: 0.8759 | F1: 0.7945
Ep 45 | Loss: 0.4093 | VAL_AUC: 0.8808 | PRC: 0.8778 | F1: 0.8040
Ep 46 | Loss: 0.4075 | VAL_AUC: 0.8799 | PRC: 0.8765 | F1: 0.8010
Ep 47 | Loss: 0.4073 | VAL_AUC: 0.8801 | PRC: 0.8769 | F1: 0.8047
Ep 48 | Loss: 0.4066 | VAL_AUC: 0.8804 | PRC: 0.8767 | F1: 0.7981
Ep 49 | Loss: 0.4053 | VAL_AUC: 0.8801 | PRC: 0.8765 | F1: 0.7976
Ep 50 | Loss: 0.3999 | VAL_AUC: 0.8811 | PRC: 0.8781 | F1: 0.8034

✅ Fold 2 完成 | Best VAL_AUC: 0.8811
