[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold0_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: MCF7 | Fold: 0 | Device: cuda:3
   Train: 164,409  Val: 42,276
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6371 | VAL_AUC: 0.7725 | PRC: 0.7605 | F1: 0.7230
Ep 02 | Loss: 0.5707 | VAL_AUC: 0.8130 | PRC: 0.7989 | F1: 0.7314
Ep 03 | Loss: 0.5263 | VAL_AUC: 0.8376 | PRC: 0.8277 | F1: 0.7558
Ep 04 | Loss: 0.5031 | VAL_AUC: 0.8482 | PRC: 0.8382 | F1: 0.7724
Ep 05 | Loss: 0.4924 | VAL_AUC: 0.8446 | PRC: 0.8358 | F1: 0.7621
Ep 06 | Loss: 0.4831 | VAL_AUC: 0.8574 | PRC: 0.8491 | F1: 0.7684
Ep 07 | Loss: 0.4792 | VAL_AUC: 0.8556 | PRC: 0.8457 | F1: 0.7832
Ep 08 | Loss: 0.4750 | VAL_AUC: 0.8610 | PRC: 0.8521 | F1: 0.7828
Ep 09 | Loss: 0.4715 | VAL_AUC: 0.8627 | PRC: 0.8539 | F1: 0.7789
Ep 10 | Loss: 0.4689 | VAL_AUC: 0.8639 | PRC: 0.8553 | F1: 0.7841
Ep 11 | Loss: 0.4660 | VAL_AUC: 0.8657 | PRC: 0.8577 | F1: 0.7841
Ep 12 | Loss: 0.4640 | VAL_AUC: 0.8652 | PRC: 0.8577 | F1: 0.7784
Ep 13 | Loss: 0.4631 | VAL_AUC: 0.8638 | PRC: 0.8547 | F1: 0.7717
Ep 14 | Loss: 0.4598 | VAL_AUC: 0.8673 | PRC: 0.8600 | F1: 0.7848
Ep 15 | Loss: 0.4598 | VAL_AUC: 0.8657 | PRC: 0.8579 | F1: 0.7821
