[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold0_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: HUVEC | Fold: 0 | Device: cuda:2
   Train: 14,032  Val: 3,532
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.5123 | VAL_AUC: 0.9668 | PRC: 0.9668 | F1: 0.9030
Ep 02 | Loss: 0.2495 | VAL_AUC: 0.9707 | PRC: 0.9711 | F1: 0.9138
Ep 03 | Loss: 0.2430 | VAL_AUC: 0.9726 | PRC: 0.9733 | F1: 0.9065
Ep 04 | Loss: 0.2292 | VAL_AUC: 0.9730 | PRC: 0.9729 | F1: 0.9148
Ep 05 | Loss: 0.2196 | VAL_AUC: 0.9729 | PRC: 0.9735 | F1: 0.9093
Ep 06 | Loss: 0.2211 | VAL_AUC: 0.9719 | PRC: 0.9719 | F1: 0.9082
Ep 07 | Loss: 0.2097 | VAL_AUC: 0.9744 | PRC: 0.9743 | F1: 0.9151
Ep 08 | Loss: 0.2110 | VAL_AUC: 0.9740 | PRC: 0.9742 | F1: 0.9146
Ep 09 | Loss: 0.2028 | VAL_AUC: 0.9745 | PRC: 0.9749 | F1: 0.9155
Ep 10 | Loss: 0.2000 | VAL_AUC: 0.9732 | PRC: 0.9730 | F1: 0.9149
Ep 11 | Loss: 0.1985 | VAL_AUC: 0.9729 | PRC: 0.9737 | F1: 0.9140
Ep 12 | Loss: 0.1959 | VAL_AUC: 0.9745 | PRC: 0.9741 | F1: 0.9147
Ep 13 | Loss: 0.1946 | VAL_AUC: 0.9743 | PRC: 0.9747 | F1: 0.9142
Ep 14 | Loss: 0.1817 | VAL_AUC: 0.9741 | PRC: 0.9744 | F1: 0.9075
Ep 15 | Loss: 0.1771 | VAL_AUC: 0.9742 | PRC: 0.9744 | F1: 0.9122
Ep 16 | Loss: 0.1763 | VAL_AUC: 0.9741 | PRC: 0.9745 | F1: 0.9148
Ep 17 | Loss: 0.1771 | VAL_AUC: 0.9740 | PRC: 0.9744 | F1: 0.9153
Ep 18 | Loss: 0.1693 | VAL_AUC: 0.9740 | PRC: 0.9743 | F1: 0.9127
Ep 19 | Loss: 0.1673 | VAL_AUC: 0.9740 | PRC: 0.9742 | F1: 0.9149
🛑 早停 (patience=10) | Best AUC: 0.9745

✅ Fold 0 完成 | Best VAL_AUC: 0.9745
