[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold3_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold3_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: HUVEC | Fold: 3 | Device: cuda:2
   Train: 14,181  Val: 3,383
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.5156 | VAL_AUC: 0.9575 | PRC: 0.9483 | F1: 0.8768
Ep 02 | Loss: 0.2527 | VAL_AUC: 0.9678 | PRC: 0.9625 | F1: 0.8986
Ep 03 | Loss: 0.2304 | VAL_AUC: 0.9682 | PRC: 0.9634 | F1: 0.8927
Ep 04 | Loss: 0.2277 | VAL_AUC: 0.9696 | PRC: 0.9651 | F1: 0.8976
Ep 05 | Loss: 0.2160 | VAL_AUC: 0.9696 | PRC: 0.9649 | F1: 0.8972
Ep 06 | Loss: 0.2121 | VAL_AUC: 0.9699 | PRC: 0.9659 | F1: 0.8963
Ep 07 | Loss: 0.2089 | VAL_AUC: 0.9706 | PRC: 0.9676 | F1: 0.8952
Ep 08 | Loss: 0.2049 | VAL_AUC: 0.9712 | PRC: 0.9684 | F1: 0.9003
Ep 09 | Loss: 0.1974 | VAL_AUC: 0.9705 | PRC: 0.9676 | F1: 0.8945
Ep 10 | Loss: 0.1959 | VAL_AUC: 0.9716 | PRC: 0.9690 | F1: 0.8968
Ep 11 | Loss: 0.1959 | VAL_AUC: 0.9703 | PRC: 0.9673 | F1: 0.8947
Ep 12 | Loss: 0.1917 | VAL_AUC: 0.9705 | PRC: 0.9680 | F1: 0.8982
Ep 13 | Loss: 0.1894 | VAL_AUC: 0.9716 | PRC: 0.9694 | F1: 0.8974
Ep 14 | Loss: 0.1859 | VAL_AUC: 0.9726 | PRC: 0.9701 | F1: 0.8986
Ep 15 | Loss: 0.1849 | VAL_AUC: 0.9716 | PRC: 0.9691 | F1: 0.8995
Ep 16 | Loss: 0.1807 | VAL_AUC: 0.9718 | PRC: 0.9695 | F1: 0.8940
Ep 17 | Loss: 0.1796 | VAL_AUC: 0.9714 | PRC: 0.9687 | F1: 0.9002
Ep 18 | Loss: 0.1771 | VAL_AUC: 0.9719 | PRC: 0.9691 | F1: 0.8984
Ep 19 | Loss: 0.1683 | VAL_AUC: 0.9715 | PRC: 0.9689 | F1: 0.8950
Ep 20 | Loss: 0.1661 | VAL_AUC: 0.9720 | PRC: 0.9694 | F1: 0.8983
Ep 21 | Loss: 0.1644 | VAL_AUC: 0.9718 | PRC: 0.9689 | F1: 0.8980
Ep 22 | Loss: 0.1629 | VAL_AUC: 0.9703 | PRC: 0.9674 | F1: 0.8945
Ep 23 | Loss: 0.1551 | VAL_AUC: 0.9708 | PRC: 0.9674 | F1: 0.8985
Ep 24 | Loss: 0.1543 | VAL_AUC: 0.9712 | PRC: 0.9677 | F1: 0.8986
🛑 早停 (patience=10) | Best AUC: 0.9726

✅ Fold 3 完成 | Best VAL_AUC: 0.9726
