[TRAIN] ⚡ 复用 K-mer 缓存: kmer_cache_fold1_train.pt
[VAL] ⚡ 复用 K-mer 缓存: kmer_cache_fold1_val.pt

============================================================
🚀 深度学习基线（晚期融合）
   细胞系: HT29 | Fold: 1 | Device: cuda:0
   Train: 156,981  Val: 41,316
   消融对比: 无靶向池化 | 无正交剥离 | 无对比学习
============================================================

Ep 01 | Loss: 0.6339 | VAL_AUC: 0.7744 | PRC: 0.7557 | F1: 0.6942
Ep 02 | Loss: 0.5741 | VAL_AUC: 0.7882 | PRC: 0.7746 | F1: 0.7002
Ep 03 | Loss: 0.5551 | VAL_AUC: 0.8137 | PRC: 0.8010 | F1: 0.7049
Ep 04 | Loss: 0.5286 | VAL_AUC: 0.8308 | PRC: 0.8192 | F1: 0.7550
Ep 05 | Loss: 0.5100 | VAL_AUC: 0.8422 | PRC: 0.8308 | F1: 0.7587
Ep 06 | Loss: 0.4954 | VAL_AUC: 0.8546 | PRC: 0.8430 | F1: 0.7742
Ep 07 | Loss: 0.4834 | VAL_AUC: 0.8593 | PRC: 0.8484 | F1: 0.7752
Ep 08 | Loss: 0.4750 | VAL_AUC: 0.8606 | PRC: 0.8493 | F1: 0.7799
Ep 09 | Loss: 0.4662 | VAL_AUC: 0.8666 | PRC: 0.8553 | F1: 0.7881
Ep 10 | Loss: 0.4621 | VAL_AUC: 0.8703 | PRC: 0.8598 | F1: 0.7910
Ep 11 | Loss: 0.4551 | VAL_AUC: 0.8705 | PRC: 0.8585 | F1: 0.7900
Ep 12 | Loss: 0.4492 | VAL_AUC: 0.8753 | PRC: 0.8641 | F1: 0.7957
Ep 13 | Loss: 0.4454 | VAL_AUC: 0.8773 | PRC: 0.8662 | F1: 0.7991
Ep 14 | Loss: 0.4405 | VAL_AUC: 0.8780 | PRC: 0.8681 | F1: 0.7902
Ep 15 | Loss: 0.4384 | VAL_AUC: 0.8803 | PRC: 0.8705 | F1: 0.8064
Ep 16 | Loss: 0.4354 | VAL_AUC: 0.8797 | PRC: 0.8686 | F1: 0.8017
Ep 17 | Loss: 0.4323 | VAL_AUC: 0.8834 | PRC: 0.8734 | F1: 0.8009
Ep 18 | Loss: 0.4298 | VAL_AUC: 0.8853 | PRC: 0.8743 | F1: 0.8104
Ep 19 | Loss: 0.4286 | VAL_AUC: 0.8849 | PRC: 0.8747 | F1: 0.8063
Ep 20 | Loss: 0.4268 | VAL_AUC: 0.8865 | PRC: 0.8763 | F1: 0.8121
Ep 21 | Loss: 0.4238 | VAL_AUC: 0.8859 | PRC: 0.8760 | F1: 0.8101
Ep 22 | Loss: 0.4219 | VAL_AUC: 0.8879 | PRC: 0.8784 | F1: 0.8116
Ep 23 | Loss: 0.4186 | VAL_AUC: 0.8892 | PRC: 0.8795 | F1: 0.8091
Ep 24 | Loss: 0.4185 | VAL_AUC: 0.8898 | PRC: 0.8798 | F1: 0.8073
Ep 25 | Loss: 0.4168 | VAL_AUC: 0.8896 | PRC: 0.8779 | F1: 0.8168
Ep 26 | Loss: 0.4134 | VAL_AUC: 0.8902 | PRC: 0.8808 | F1: 0.8128
Ep 27 | Loss: 0.4129 | VAL_AUC: 0.8903 | PRC: 0.8798 | F1: 0.8100
Ep 28 | Loss: 0.4118 | VAL_AUC: 0.8926 | PRC: 0.8821 | F1: 0.8186
Ep 29 | Loss: 0.4104 | VAL_AUC: 0.8907 | PRC: 0.8793 | F1: 0.8140
Ep 30 | Loss: 0.4102 | VAL_AUC: 0.8930 | PRC: 0.8839 | F1: 0.8139
Ep 31 | Loss: 0.4091 | VAL_AUC: 0.8932 | PRC: 0.8833 | F1: 0.8168
Ep 32 | Loss: 0.4066 | VAL_AUC: 0.8931 | PRC: 0.8825 | F1: 0.8187
Ep 33 | Loss: 0.4045 | VAL_AUC: 0.8942 | PRC: 0.8848 | F1: 0.8202
Ep 34 | Loss: 0.4046 | VAL_AUC: 0.8960 | PRC: 0.8864 | F1: 0.8200
Ep 35 | Loss: 0.4036 | VAL_AUC: 0.8946 | PRC: 0.8841 | F1: 0.8150
Ep 36 | Loss: 0.4014 | VAL_AUC: 0.8955 | PRC: 0.8846 | F1: 0.8195
Ep 37 | Loss: 0.4002 | VAL_AUC: 0.8942 | PRC: 0.8830 | F1: 0.8132
Ep 38 | Loss: 0.3995 | VAL_AUC: 0.8966 | PRC: 0.8869 | F1: 0.8202
Ep 39 | Loss: 0.3979 | VAL_AUC: 0.8983 | PRC: 0.8886 | F1: 0.8190
Ep 40 | Loss: 0.3964 | VAL_AUC: 0.8976 | PRC: 0.8875 | F1: 0.8161
Ep 41 | Loss: 0.3943 | VAL_AUC: 0.8980 | PRC: 0.8885 | F1: 0.8228
Ep 42 | Loss: 0.3952 | VAL_AUC: 0.8982 | PRC: 0.8898 | F1: 0.8218
Ep 43 | Loss: 0.3931 | VAL_AUC: 0.8994 | PRC: 0.8900 | F1: 0.8223
