[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train_len3000.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val_len3000.pt
参数量: 918,210

======================================================================
DrugOperatorNet V2  (GeneMultiHeadReader + 模式对齐耦合)
  交互类型: operator | rank=8 | gene_len=3000
  Device: cuda:3 | Fold: 0 | warmup=5ep
======================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_drug_operator_v2.py:58: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  device=scores.device).index_reduce_(
Ep 01 [lr=3.00e-05] | L:0.700 (BCE:0.690 REG:0.0094) | VAL_AUC: 0.6377 | PRC: 0.6372 | F1: 0.6465
Ep 02 [lr=9.75e-05] | L:0.664 (BCE:0.654 REG:0.0098) | VAL_AUC: 0.6939 | PRC: 0.6936 | F1: 0.6032
Ep 03 [lr=1.65e-04] | L:0.637 (BCE:0.627 REG:0.0102) | VAL_AUC: 0.7424 | PRC: 0.7411 | F1: 0.6902
Ep 04 [lr=2.32e-04] | L:0.614 (BCE:0.603 REG:0.0102) | VAL_AUC: 0.7735 | PRC: 0.7667 | F1: 0.6983
Ep 05 [lr=3.00e-04] | L:0.592 (BCE:0.582 REG:0.0102) | VAL_AUC: 0.7855 | PRC: 0.7795 | F1: 0.6506
Ep 06 [lr=3.00e-04] | L:0.572 (BCE:0.562 REG:0.0100) | VAL_AUC: 0.8079 | PRC: 0.7993 | F1: 0.7307
Ep 07 [lr=3.00e-04] | L:0.556 (BCE:0.549 REG:0.0075) | VAL_AUC: 0.8171 | PRC: 0.8069 | F1: 0.7267
Ep 08 [lr=3.00e-04] | L:0.546 (BCE:0.539 REG:0.0061) | VAL_AUC: 0.8299 | PRC: 0.8202 | F1: 0.7619
Ep 09 [lr=3.00e-04] | L:0.532 (BCE:0.527 REG:0.0052) | VAL_AUC: 0.8345 | PRC: 0.8250 | F1: 0.7536
Ep 10 [lr=3.00e-04] | L:0.521 (BCE:0.516 REG:0.0049) | VAL_AUC: 0.8412 | PRC: 0.8305 | F1: 0.7550
Ep 11 [lr=3.00e-04] | L:0.504 (BCE:0.500 REG:0.0047) | VAL_AUC: 0.8520 | PRC: 0.8434 | F1: 0.7845
Ep 12 [lr=3.00e-04] | L:0.493 (BCE:0.488 REG:0.0046) | VAL_AUC: 0.8602 | PRC: 0.8506 | F1: 0.7911
Ep 13 [lr=3.00e-04] | L:0.478 (BCE:0.474 REG:0.0043) | VAL_AUC: 0.8665 | PRC: 0.8580 | F1: 0.7983
Ep 14 [lr=3.00e-04] | L:0.464 (BCE:0.460 REG:0.0041) | VAL_AUC: 0.8737 | PRC: 0.8657 | F1: 0.7957
Ep 15 [lr=3.00e-04] | L:0.451 (BCE:0.447 REG:0.0040) | VAL_AUC: 0.8784 | PRC: 0.8687 | F1: 0.8052
Ep 16 [lr=3.00e-04] | L:0.441 (BCE:0.437 REG:0.0039) | VAL_AUC: 0.8802 | PRC: 0.8735 | F1: 0.8056
Ep 17 [lr=3.00e-04] | L:0.433 (BCE:0.429 REG:0.0038) | VAL_AUC: 0.8815 | PRC: 0.8715 | F1: 0.7953
Ep 18 [lr=3.00e-04] | L:0.426 (BCE:0.422 REG:0.0035) | VAL_AUC: 0.8868 | PRC: 0.8794 | F1: 0.8136
Ep 19 [lr=3.00e-04] | L:0.419 (BCE:0.416 REG:0.0035) | VAL_AUC: 0.8888 | PRC: 0.8804 | F1: 0.8183
Ep 20 [lr=3.00e-04] | L:0.415 (BCE:0.412 REG:0.0033) | VAL_AUC: 0.8897 | PRC: 0.8831 | F1: 0.8178
Ep 21 [lr=3.00e-04] | L:0.410 (BCE:0.407 REG:0.0032) | VAL_AUC: 0.8900 | PRC: 0.8832 | F1: 0.8206
