[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train_len3000.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val_len3000.pt
参数量: 918,210

======================================================================
DrugOperatorNet V2  (GeneMultiHeadReader + 模式对齐耦合)
  交互类型: operator | rank=8 | gene_len=3000
  Device: cuda:0 | Fold: 0 | warmup=5ep
======================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_drug_operator_v2.py:58: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  device=scores.device).index_reduce_(
Ep 38 [lr=3.00e-04] | L:0.440 (BCE:0.438 REG:0.0016) | VAL_AUC: 0.8608 | PRC: 0.8507 | F1: 0.7802
Ep 39 [lr=3.00e-04] | L:0.438 (BCE:0.436 REG:0.0016) | VAL_AUC: 0.8612 | PRC: 0.8508 | F1: 0.7837
Ep 40 [lr=3.00e-04] | L:0.435 (BCE:0.433 REG:0.0016) | VAL_AUC: 0.8635 | PRC: 0.8537 | F1: 0.7863
Ep 41 [lr=3.00e-04] | L:0.432 (BCE:0.431 REG:0.0016) | VAL_AUC: 0.8641 | PRC: 0.8543 | F1: 0.7786
Ep 42 [lr=3.00e-04] | L:0.431 (BCE:0.429 REG:0.0016) | VAL_AUC: 0.8628 | PRC: 0.8539 | F1: 0.7859
Ep 43 [lr=3.00e-04] | L:0.429 (BCE:0.427 REG:0.0016) | VAL_AUC: 0.8658 | PRC: 0.8570 | F1: 0.7868
Ep 44 [lr=3.00e-04] | L:0.426 (BCE:0.424 REG:0.0016) | VAL_AUC: 0.8642 | PRC: 0.8548 | F1: 0.7822
Ep 45 [lr=3.00e-04] | L:0.425 (BCE:0.423 REG:0.0016) | VAL_AUC: 0.8638 | PRC: 0.8541 | F1: 0.7757
Ep 46 [lr=3.00e-04] | L:0.423 (BCE:0.421 REG:0.0016) | VAL_AUC: 0.8621 | PRC: 0.8526 | F1: 0.7806
Ep 47 [lr=1.50e-04] | L:0.421 (BCE:0.419 REG:0.0016) | VAL_AUC: 0.8635 | PRC: 0.8529 | F1: 0.7816
Ep 48 [lr=1.50e-04] | L:0.411 (BCE:0.409 REG:0.0016) | VAL_AUC: 0.8657 | PRC: 0.8568 | F1: 0.7860
Ep 49 [lr=1.50e-04] | L:0.408 (BCE:0.406 REG:0.0016) | VAL_AUC: 0.8665 | PRC: 0.8567 | F1: 0.7880
Ep 50 [lr=1.50e-04] | L:0.407 (BCE:0.405 REG:0.0016) | VAL_AUC: 0.8658 | PRC: 0.8565 | F1: 0.7856
Ep 51 [lr=1.50e-04] | L:0.405 (BCE:0.404 REG:0.0016) | VAL_AUC: 0.8670 | PRC: 0.8573 | F1: 0.7893
Ep 52 [lr=1.50e-04] | L:0.404 (BCE:0.403 REG:0.0016) | VAL_AUC: 0.8653 | PRC: 0.8555 | F1: 0.7830
Ep 53 [lr=1.50e-04] | L:0.403 (BCE:0.401 REG:0.0016) | VAL_AUC: 0.8654 | PRC: 0.8547 | F1: 0.7837
Ep 54 [lr=1.50e-04] | L:0.402 (BCE:0.401 REG:0.0016) | VAL_AUC: 0.8663 | PRC: 0.8564 | F1: 0.7869
Ep 55 [lr=7.50e-05] | L:0.400 (BCE:0.399 REG:0.0016) | VAL_AUC: 0.8664 | PRC: 0.8568 | F1: 0.7854
Ep 56 [lr=7.50e-05] | L:0.394 (BCE:0.393 REG:0.0016) | VAL_AUC: 0.8666 | PRC: 0.8570 | F1: 0.7879
Ep 57 [lr=7.50e-05] | L:0.393 (BCE:0.391 REG:0.0015) | VAL_AUC: 0.8671 | PRC: 0.8571 | F1: 0.7872
Ep 58 [lr=7.50e-05] | L:0.393 (BCE:0.391 REG:0.0015) | VAL_AUC: 0.8673 | PRC: 0.8576 | F1: 0.7869
Ep 59 [lr=7.50e-05] | L:0.391 (BCE:0.390 REG:0.0016) | VAL_AUC: 0.8677 | PRC: 0.8578 | F1: 0.7888
Ep 60 [lr=7.50e-05] | L:0.390 (BCE:0.389 REG:0.0015) | VAL_AUC: 0.8667 | PRC: 0.8562 | F1: 0.7841
Ep 61 [lr=7.50e-05] | L:0.390 (BCE:0.388 REG:0.0016) | VAL_AUC: 0.8665 | PRC: 0.8571 | F1: 0.7874
Ep 62 [lr=7.50e-05] | L:0.388 (BCE:0.386 REG:0.0015) | VAL_AUC: 0.8672 | PRC: 0.8567 | F1: 0.7870
Ep 63 [lr=3.75e-05] | L:0.388 (BCE:0.387 REG:0.0015) | VAL_AUC: 0.8664 | PRC: 0.8563 | F1: 0.7867
Ep 64 [lr=3.75e-05] | L:0.385 (BCE:0.383 REG:0.0015) | VAL_AUC: 0.8667 | PRC: 0.8567 | F1: 0.7882
Ep 65 [lr=3.75e-05] | L:0.385 (BCE:0.383 REG:0.0015) | VAL_AUC: 0.8666 | PRC: 0.8558 | F1: 0.7862
Ep 66 [lr=3.75e-05] | L:0.383 (BCE:0.382 REG:0.0015) | VAL_AUC: 0.8664 | PRC: 0.8564 | F1: 0.7866
Ep 67 [lr=1.87e-05] | L:0.385 (BCE:0.383 REG:0.0015) | VAL_AUC: 0.8669 | PRC: 0.8568 | F1: 0.7874
Ep 68 [lr=1.87e-05] | L:0.382 (BCE:0.381 REG:0.0015) | VAL_AUC: 0.8671 | PRC: 0.8568 | F1: 0.7856
Ep 69 [lr=1.87e-05] | L:0.381 (BCE:0.380 REG:0.0015) | VAL_AUC: 0.8670 | PRC: 0.8566 | F1: 0.7859
Early stop at epoch 69

最优 AUC: 0.8677  模型: results_operator_v2/A549/operator_r8_Fold0_v1.pt
