[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold3_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold3_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:2 | fold=3
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.782 (BCE:0.694 REG:0.0882 LB:0.0000) | VAL_AUC:0.6259 PRC:0.6141 F1:0.5680
Ep 02 [lr=6.50e-05] | L:0.709 (BCE:0.664 REG:0.0456 LB:0.0000) | VAL_AUC:0.6983 PRC:0.6838 F1:0.6079
Ep 03 [lr=1.10e-04] | L:0.643 (BCE:0.639 REG:0.0039 LB:0.0000) | VAL_AUC:0.7079 PRC:0.6961 F1:0.6429
Ep 04 [lr=1.55e-04] | L:0.631 (BCE:0.631 REG:0.0005 LB:0.0000) | VAL_AUC:0.7096 PRC:0.6984 F1:0.5718
Ep 05 [lr=2.00e-04] | L:0.627 (BCE:0.627 REG:0.0003 LB:0.0000) | VAL_AUC:0.7104 PRC:0.7005 F1:0.6524
Ep 06 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0002 LB:0.0000) | VAL_AUC:0.7118 PRC:0.7012 F1:0.6599
Ep 07 [lr=2.00e-04] | L:0.621 (BCE:0.621 REG:0.0002 LB:0.0000) | VAL_AUC:0.7127 PRC:0.7018 F1:0.5978
Ep 08 [lr=2.00e-04] | L:0.618 (BCE:0.617 REG:0.0009 LB:0.0000) | VAL_AUC:0.7316 PRC:0.7161 F1:0.6535
Ep 09 [lr=2.00e-04] | L:0.601 (BCE:0.599 REG:0.0019 LB:0.0000) | VAL_AUC:0.7672 PRC:0.7488 F1:0.6868
Ep 10 [lr=2.00e-04] | L:0.580 (BCE:0.578 REG:0.0017 LB:0.0000) | VAL_AUC:0.7844 PRC:0.7635 F1:0.6929
Ep 11 [lr=2.00e-04] | L:0.570 (BCE:0.568 REG:0.0015 LB:0.0000) | VAL_AUC:0.7916 PRC:0.7721 F1:0.7326
Ep 12 [lr=2.00e-04] | L:0.560 (BCE:0.559 REG:0.0016 LB:0.0000) | VAL_AUC:0.8016 PRC:0.7847 F1:0.7268
Ep 13 [lr=2.00e-04] | L:0.550 (BCE:0.548 REG:0.0017 LB:0.0000) | VAL_AUC:0.8133 PRC:0.7965 F1:0.7258
Ep 14 [lr=2.00e-04] | L:0.538 (BCE:0.537 REG:0.0018 LB:0.0000) | VAL_AUC:0.8160 PRC:0.8017 F1:0.7242
Ep 15 [lr=2.00e-04] | L:0.530 (BCE:0.528 REG:0.0017 LB:0.0000) | VAL_AUC:0.8237 PRC:0.8087 F1:0.7237
Ep 16 [lr=2.00e-04] | L:0.522 (BCE:0.520 REG:0.0018 LB:0.0000) | VAL_AUC:0.8310 PRC:0.8170 F1:0.7549
Ep 17 [lr=2.00e-04] | L:0.513 (BCE:0.511 REG:0.0017 LB:0.0000) | VAL_AUC:0.8368 PRC:0.8248 F1:0.7641
Ep 18 [lr=2.00e-04] | L:0.505 (BCE:0.503 REG:0.0018 LB:0.0000) | VAL_AUC:0.8407 PRC:0.8273 F1:0.7577
Ep 19 [lr=2.00e-04] | L:0.499 (BCE:0.498 REG:0.0017 LB:0.0000) | VAL_AUC:0.8435 PRC:0.8311 F1:0.7588
Ep 20 [lr=2.00e-04] | L:0.493 (BCE:0.491 REG:0.0017 LB:0.0000) | VAL_AUC:0.8444 PRC:0.8334 F1:0.7576
Ep 21 [lr=2.00e-04] | L:0.489 (BCE:0.487 REG:0.0017 LB:0.0000) | VAL_AUC:0.8474 PRC:0.8361 F1:0.7596
Ep 22 [lr=2.00e-04] | L:0.484 (BCE:0.482 REG:0.0017 LB:0.0000) | VAL_AUC:0.8504 PRC:0.8398 F1:0.7734
Ep 23 [lr=2.00e-04] | L:0.480 (BCE:0.478 REG:0.0018 LB:0.0000) | VAL_AUC:0.8517 PRC:0.8404 F1:0.7724
Ep 24 [lr=2.00e-04] | L:0.475 (BCE:0.473 REG:0.0016 LB:0.0000) | VAL_AUC:0.8522 PRC:0.8416 F1:0.7692
Ep 25 [lr=2.00e-04] | L:0.471 (BCE:0.469 REG:0.0016 LB:0.0000) | VAL_AUC:0.8539 PRC:0.8424 F1:0.7748
Ep 26 [lr=2.00e-04] | L:0.468 (BCE:0.467 REG:0.0016 LB:0.0000) | VAL_AUC:0.8550 PRC:0.8439 F1:0.7738
Ep 27 [lr=2.00e-04] | L:0.465 (BCE:0.463 REG:0.0016 LB:0.0000) | VAL_AUC:0.8556 PRC:0.8452 F1:0.7739
Ep 28 [lr=2.00e-04] | L:0.462 (BCE:0.460 REG:0.0016 LB:0.0000) | VAL_AUC:0.8550 PRC:0.8440 F1:0.7679
Ep 29 [lr=2.00e-04] | L:0.459 (BCE:0.457 REG:0.0015 LB:0.0000) | VAL_AUC:0.8579 PRC:0.8462 F1:0.7746
Ep 30 [lr=2.00e-04] | L:0.456 (BCE:0.454 REG:0.0015 LB:0.0000) | VAL_AUC:0.8588 PRC:0.8484 F1:0.7790
Ep 31 [lr=2.00e-04] | L:0.453 (BCE:0.452 REG:0.0015 LB:0.0000) | VAL_AUC:0.8591 PRC:0.8479 F1:0.7723
Ep 32 [lr=2.00e-04] | L:0.450 (BCE:0.449 REG:0.0015 LB:0.0000) | VAL_AUC:0.8585 PRC:0.8488 F1:0.7767
Ep 33 [lr=2.00e-04] | L:0.448 (BCE:0.446 REG:0.0015 LB:0.0000) | VAL_AUC:0.8614 PRC:0.8512 F1:0.7766
Ep 34 [lr=2.00e-04] | L:0.445 (BCE:0.443 REG:0.0015 LB:0.0000) | VAL_AUC:0.8617 PRC:0.8512 F1:0.7782
