[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold2_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold2_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:2 | fold=2
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.783 (BCE:0.694 REG:0.0882 LB:0.0000) | VAL_AUC:0.6289 PRC:0.6145 F1:0.5146
Ep 02 [lr=6.50e-05] | L:0.710 (BCE:0.664 REG:0.0461 LB:0.0000) | VAL_AUC:0.6966 PRC:0.6846 F1:0.6052
Ep 03 [lr=1.10e-04] | L:0.643 (BCE:0.639 REG:0.0039 LB:0.0000) | VAL_AUC:0.7025 PRC:0.6948 F1:0.5877
Ep 04 [lr=1.55e-04] | L:0.631 (BCE:0.630 REG:0.0004 LB:0.0000) | VAL_AUC:0.7054 PRC:0.6987 F1:0.6479
Ep 05 [lr=2.00e-04] | L:0.626 (BCE:0.626 REG:0.0003 LB:0.0000) | VAL_AUC:0.7052 PRC:0.6975 F1:0.6426
Ep 06 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0003 LB:0.0000) | VAL_AUC:0.7074 PRC:0.7003 F1:0.6470
Ep 07 [lr=2.00e-04] | L:0.620 (BCE:0.619 REG:0.0006 LB:0.0000) | VAL_AUC:0.7151 PRC:0.7058 F1:0.6462
Ep 08 [lr=2.00e-04] | L:0.612 (BCE:0.610 REG:0.0013 LB:0.0000) | VAL_AUC:0.7425 PRC:0.7261 F1:0.6699
Ep 09 [lr=2.00e-04] | L:0.588 (BCE:0.587 REG:0.0017 LB:0.0000) | VAL_AUC:0.7718 PRC:0.7521 F1:0.7098
Ep 10 [lr=2.00e-04] | L:0.575 (BCE:0.573 REG:0.0016 LB:0.0000) | VAL_AUC:0.7774 PRC:0.7593 F1:0.7178
Ep 11 [lr=2.00e-04] | L:0.567 (BCE:0.566 REG:0.0016 LB:0.0000) | VAL_AUC:0.7853 PRC:0.7676 F1:0.7245
Ep 12 [lr=2.00e-04] | L:0.561 (BCE:0.559 REG:0.0017 LB:0.0000) | VAL_AUC:0.7926 PRC:0.7753 F1:0.7041
Ep 13 [lr=2.00e-04] | L:0.553 (BCE:0.551 REG:0.0016 LB:0.0000) | VAL_AUC:0.7988 PRC:0.7814 F1:0.7311
Ep 14 [lr=2.00e-04] | L:0.544 (BCE:0.542 REG:0.0018 LB:0.0000) | VAL_AUC:0.8031 PRC:0.7864 F1:0.7229
Ep 15 [lr=2.00e-04] | L:0.536 (BCE:0.534 REG:0.0017 LB:0.0000) | VAL_AUC:0.8065 PRC:0.7890 F1:0.7306
Ep 16 [lr=2.00e-04] | L:0.528 (BCE:0.526 REG:0.0016 LB:0.0000) | VAL_AUC:0.8153 PRC:0.7995 F1:0.7403
Ep 17 [lr=2.00e-04] | L:0.520 (BCE:0.519 REG:0.0015 LB:0.0000) | VAL_AUC:0.8206 PRC:0.8066 F1:0.7360
Ep 18 [lr=2.00e-04] | L:0.514 (BCE:0.512 REG:0.0017 LB:0.0000) | VAL_AUC:0.8207 PRC:0.8054 F1:0.7476
Ep 19 [lr=2.00e-04] | L:0.507 (BCE:0.505 REG:0.0016 LB:0.0000) | VAL_AUC:0.8245 PRC:0.8104 F1:0.7433
Ep 20 [lr=2.00e-04] | L:0.502 (BCE:0.500 REG:0.0017 LB:0.0000) | VAL_AUC:0.8309 PRC:0.8184 F1:0.7420
Ep 21 [lr=2.00e-04] | L:0.494 (BCE:0.493 REG:0.0017 LB:0.0000) | VAL_AUC:0.8329 PRC:0.8193 F1:0.7508
Ep 22 [lr=2.00e-04] | L:0.489 (BCE:0.487 REG:0.0017 LB:0.0000) | VAL_AUC:0.8373 PRC:0.8244 F1:0.7618
Ep 23 [lr=2.00e-04] | L:0.484 (BCE:0.482 REG:0.0016 LB:0.0000) | VAL_AUC:0.8385 PRC:0.8276 F1:0.7573
Ep 24 [lr=2.00e-04] | L:0.479 (BCE:0.477 REG:0.0017 LB:0.0000) | VAL_AUC:0.8410 PRC:0.8306 F1:0.7641
Ep 25 [lr=2.00e-04] | L:0.475 (BCE:0.473 REG:0.0017 LB:0.0000) | VAL_AUC:0.8436 PRC:0.8335 F1:0.7643
Ep 26 [lr=2.00e-04] | L:0.470 (BCE:0.469 REG:0.0016 LB:0.0000) | VAL_AUC:0.8444 PRC:0.8353 F1:0.7634
Ep 27 [lr=2.00e-04] | L:0.467 (BCE:0.465 REG:0.0016 LB:0.0000) | VAL_AUC:0.8447 PRC:0.8353 F1:0.7694
Ep 28 [lr=2.00e-04] | L:0.462 (BCE:0.461 REG:0.0017 LB:0.0000) | VAL_AUC:0.8474 PRC:0.8385 F1:0.7632
Ep 29 [lr=2.00e-04] | L:0.459 (BCE:0.458 REG:0.0015 LB:0.0000) | VAL_AUC:0.8480 PRC:0.8390 F1:0.7649
Ep 30 [lr=2.00e-04] | L:0.455 (BCE:0.454 REG:0.0015 LB:0.0000) | VAL_AUC:0.8495 PRC:0.8404 F1:0.7660
Ep 31 [lr=2.00e-04] | L:0.453 (BCE:0.451 REG:0.0016 LB:0.0000) | VAL_AUC:0.8495 PRC:0.8403 F1:0.7668
Ep 32 [lr=2.00e-04] | L:0.449 (BCE:0.447 REG:0.0016 LB:0.0000) | VAL_AUC:0.8490 PRC:0.8400 F1:0.7676
Ep 33 [lr=2.00e-04] | L:0.447 (BCE:0.445 REG:0.0015 LB:0.0000) | VAL_AUC:0.8509 PRC:0.8415 F1:0.7660
Ep 34 [lr=2.00e-04] | L:0.443 (BCE:0.442 REG:0.0016 LB:0.0000) | VAL_AUC:0.8494 PRC:0.8399 F1:0.7668
Ep 35 [lr=2.00e-04] | L:0.441 (BCE:0.440 REG:0.0015 LB:0.0000) | VAL_AUC:0.8502 PRC:0.8417 F1:0.7634
Ep 36 [lr=2.00e-04] | L:0.440 (BCE:0.438 REG:0.0016 LB:0.0000) | VAL_AUC:0.8505 PRC:0.8426 F1:0.7710
Ep 37 [lr=2.00e-04] | L:0.436 (BCE:0.435 REG:0.0016 LB:0.0000) | VAL_AUC:0.8520 PRC:0.8421 F1:0.7725
Ep 38 [lr=2.00e-04] | L:0.434 (BCE:0.432 REG:0.0016 LB:0.0000) | VAL_AUC:0.8523 PRC:0.8422 F1:0.7674
Ep 39 [lr=2.00e-04] | L:0.432 (BCE:0.431 REG:0.0015 LB:0.0000) | VAL_AUC:0.8506 PRC:0.8424 F1:0.7728
Ep 40 [lr=2.00e-04] | L:0.429 (BCE:0.427 REG:0.0015 LB:0.0000) | VAL_AUC:0.8521 PRC:0.8429 F1:0.7694
Ep 41 [lr=2.00e-04] | L:0.426 (BCE:0.425 REG:0.0017 LB:0.0000) | VAL_AUC:0.8515 PRC:0.8423 F1:0.7678
Ep 42 [lr=2.00e-04] | L:0.425 (BCE:0.424 REG:0.0015 LB:0.0000) | VAL_AUC:0.8534 PRC:0.8441 F1:0.7642
Ep 43 [lr=2.00e-04] | L:0.421 (BCE:0.420 REG:0.0016 LB:0.0000) | VAL_AUC:0.8519 PRC:0.8422 F1:0.7660
Ep 44 [lr=2.00e-04] | L:0.421 (BCE:0.420 REG:0.0015 LB:0.0000) | VAL_AUC:0.8530 PRC:0.8444 F1:0.7677
Ep 45 [lr=2.00e-04] | L:0.419 (BCE:0.418 REG:0.0016 LB:0.0000) | VAL_AUC:0.8519 PRC:0.8421 F1:0.7715
Ep 46 [lr=2.00e-04] | L:0.417 (BCE:0.415 REG:0.0015 LB:0.0000) | VAL_AUC:0.8543 PRC:0.8452 F1:0.7706
Ep 47 [lr=2.00e-04] | L:0.414 (BCE:0.413 REG:0.0015 LB:0.0000) | VAL_AUC:0.8521 PRC:0.8426 F1:0.7611
Ep 48 [lr=2.00e-04] | L:0.413 (BCE:0.411 REG:0.0015 LB:0.0000) | VAL_AUC:0.8518 PRC:0.8432 F1:0.7720
Ep 49 [lr=2.00e-04] | L:0.411 (BCE:0.409 REG:0.0016 LB:0.0000) | VAL_AUC:0.8534 PRC:0.8444 F1:0.7738
Ep 50 [lr=2.00e-04] | L:0.409 (BCE:0.407 REG:0.0015 LB:0.0000) | VAL_AUC:0.8549 PRC:0.8463 F1:0.7701
Ep 51 [lr=2.00e-04] | L:0.406 (BCE:0.404 REG:0.0015 LB:0.0000) | VAL_AUC:0.8522 PRC:0.8424 F1:0.7648
Ep 52 [lr=2.00e-04] | L:0.405 (BCE:0.404 REG:0.0015 LB:0.0000) | VAL_AUC:0.8517 PRC:0.8421 F1:0.7711
Ep 53 [lr=2.00e-04] | L:0.403 (BCE:0.401 REG:0.0015 LB:0.0000) | VAL_AUC:0.8529 PRC:0.8423 F1:0.7749
Ep 54 [lr=1.00e-04] | L:0.401 (BCE:0.399 REG:0.0015 LB:0.0000) | VAL_AUC:0.8530 PRC:0.8423 F1:0.7739
Ep 55 [lr=1.00e-04] | L:0.390 (BCE:0.388 REG:0.0015 LB:0.0000) | VAL_AUC:0.8549 PRC:0.8445 F1:0.7718
Ep 56 [lr=1.00e-04] | L:0.387 (BCE:0.386 REG:0.0015 LB:0.0000) | VAL_AUC:0.8539 PRC:0.8451 F1:0.7708
Ep 57 [lr=1.00e-04] | L:0.387 (BCE:0.385 REG:0.0015 LB:0.0000) | VAL_AUC:0.8544 PRC:0.8445 F1:0.7719
Ep 58 [lr=5.00e-05] | L:0.386 (BCE:0.384 REG:0.0014 LB:0.0000) | VAL_AUC:0.8550 PRC:0.8452 F1:0.7708
Ep 59 [lr=5.00e-05] | L:0.379 (BCE:0.377 REG:0.0014 LB:0.0000) | VAL_AUC:0.8546 PRC:0.8449 F1:0.7733
Ep 60 [lr=5.00e-05] | L:0.378 (BCE:0.377 REG:0.0014 LB:0.0000) | VAL_AUC:0.8540 PRC:0.8437 F1:0.7731
Ep 61 [lr=5.00e-05] | L:0.376 (BCE:0.374 REG:0.0014 LB:0.0000) | VAL_AUC:0.8536 PRC:0.8430 F1:0.7730
Ep 62 [lr=2.50e-05] | L:0.376 (BCE:0.375 REG:0.0014 LB:0.0000) | VAL_AUC:0.8538 PRC:0.8430 F1:0.7711
Ep 63 [lr=2.50e-05] | L:0.373 (BCE:0.372 REG:0.0014 LB:0.0000) | VAL_AUC:0.8540 PRC:0.8438 F1:0.7717
Ep 64 [lr=2.50e-05] | L:0.371 (BCE:0.370 REG:0.0014 LB:0.0000) | VAL_AUC:0.8537 PRC:0.8437 F1:0.7704
Ep 65 [lr=2.50e-05] | L:0.372 (BCE:0.371 REG:0.0014 LB:0.0000) | VAL_AUC:0.8544 PRC:0.8441 F1:0.7720
Ep 66 [lr=1.25e-05] | L:0.371 (BCE:0.369 REG:0.0014 LB:0.0000) | VAL_AUC:0.8541 PRC:0.8438 F1:0.7728
Ep 67 [lr=1.25e-05] | L:0.369 (BCE:0.368 REG:0.0014 LB:0.0000) | VAL_AUC:0.8542 PRC:0.8438 F1:0.7722
Ep 68 [lr=1.25e-05] | L:0.369 (BCE:0.367 REG:0.0014 LB:0.0000) | VAL_AUC:0.8542 PRC:0.8438 F1:0.7725
Early stop at epoch 68

最优 AUC: 0.8550  模型: results_operator_moe/A549/no_moe_r8_k4_Fold2_5fold.pt
