[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold1_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold1_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:3 | fold=1
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.783 (BCE:0.695 REG:0.0882 LB:0.0000) | VAL_AUC:0.6282 PRC:0.6098 F1:0.5677
Ep 02 [lr=6.50e-05] | L:0.708 (BCE:0.666 REG:0.0416 LB:0.0000) | VAL_AUC:0.6939 PRC:0.6840 F1:0.6028
Ep 03 [lr=1.10e-04] | L:0.646 (BCE:0.643 REG:0.0028 LB:0.0000) | VAL_AUC:0.7013 PRC:0.6956 F1:0.6143
Ep 04 [lr=1.55e-04] | L:0.635 (BCE:0.635 REG:0.0004 LB:0.0000) | VAL_AUC:0.7026 PRC:0.6996 F1:0.5683
Ep 05 [lr=2.00e-04] | L:0.631 (BCE:0.631 REG:0.0003 LB:0.0000) | VAL_AUC:0.7044 PRC:0.7008 F1:0.5992
Ep 06 [lr=2.00e-04] | L:0.628 (BCE:0.627 REG:0.0001 LB:0.0000) | VAL_AUC:0.7057 PRC:0.7024 F1:0.5906
Ep 07 [lr=2.00e-04] | L:0.626 (BCE:0.625 REG:0.0002 LB:0.0000) | VAL_AUC:0.7057 PRC:0.7026 F1:0.6304
Ep 08 [lr=2.00e-04] | L:0.625 (BCE:0.624 REG:0.0003 LB:0.0000) | VAL_AUC:0.7061 PRC:0.7036 F1:0.6378
Ep 09 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0001 LB:0.0000) | VAL_AUC:0.7065 PRC:0.7047 F1:0.6113
Ep 10 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0001 LB:0.0000) | VAL_AUC:0.7062 PRC:0.7040 F1:0.5856
Ep 11 [lr=2.00e-04] | L:0.622 (BCE:0.622 REG:0.0004 LB:0.0000) | VAL_AUC:0.7106 PRC:0.7067 F1:0.5933
Ep 12 [lr=2.00e-04] | L:0.619 (BCE:0.618 REG:0.0009 LB:0.0000) | VAL_AUC:0.7220 PRC:0.7142 F1:0.6915
Ep 13 [lr=2.00e-04] | L:0.607 (BCE:0.605 REG:0.0016 LB:0.0000) | VAL_AUC:0.7487 PRC:0.7351 F1:0.6881
Ep 14 [lr=2.00e-04] | L:0.591 (BCE:0.590 REG:0.0017 LB:0.0000) | VAL_AUC:0.7624 PRC:0.7452 F1:0.6738
Ep 15 [lr=2.00e-04] | L:0.583 (BCE:0.582 REG:0.0015 LB:0.0000) | VAL_AUC:0.7702 PRC:0.7527 F1:0.7099
Ep 16 [lr=2.00e-04] | L:0.578 (BCE:0.577 REG:0.0014 LB:0.0000) | VAL_AUC:0.7746 PRC:0.7581 F1:0.7036
Ep 17 [lr=2.00e-04] | L:0.574 (BCE:0.573 REG:0.0013 LB:0.0000) | VAL_AUC:0.7756 PRC:0.7603 F1:0.6855
Ep 18 [lr=2.00e-04] | L:0.571 (BCE:0.569 REG:0.0014 LB:0.0000) | VAL_AUC:0.7781 PRC:0.7620 F1:0.6872
Ep 19 [lr=2.00e-04] | L:0.567 (BCE:0.566 REG:0.0014 LB:0.0000) | VAL_AUC:0.7814 PRC:0.7677 F1:0.6828
Ep 20 [lr=2.00e-04] | L:0.564 (BCE:0.562 REG:0.0015 LB:0.0000) | VAL_AUC:0.7835 PRC:0.7695 F1:0.7063
Ep 21 [lr=2.00e-04] | L:0.560 (BCE:0.559 REG:0.0014 LB:0.0000) | VAL_AUC:0.7881 PRC:0.7744 F1:0.7153
Ep 22 [lr=2.00e-04] | L:0.557 (BCE:0.555 REG:0.0015 LB:0.0000) | VAL_AUC:0.7902 PRC:0.7772 F1:0.7148
Ep 23 [lr=2.00e-04] | L:0.554 (BCE:0.553 REG:0.0015 LB:0.0000) | VAL_AUC:0.7906 PRC:0.7782 F1:0.7241
Ep 24 [lr=2.00e-04] | L:0.551 (BCE:0.549 REG:0.0014 LB:0.0000) | VAL_AUC:0.7902 PRC:0.7793 F1:0.7126
Ep 25 [lr=2.00e-04] | L:0.549 (BCE:0.547 REG:0.0014 LB:0.0000) | VAL_AUC:0.7947 PRC:0.7833 F1:0.7165
Ep 26 [lr=2.00e-04] | L:0.546 (BCE:0.544 REG:0.0014 LB:0.0000) | VAL_AUC:0.7965 PRC:0.7856 F1:0.7230
Ep 27 [lr=2.00e-04] | L:0.543 (BCE:0.541 REG:0.0015 LB:0.0000) | VAL_AUC:0.7973 PRC:0.7865 F1:0.7241
Ep 28 [lr=2.00e-04] | L:0.540 (BCE:0.538 REG:0.0015 LB:0.0000) | VAL_AUC:0.7974 PRC:0.7861 F1:0.7254
Ep 29 [lr=2.00e-04] | L:0.536 (BCE:0.535 REG:0.0015 LB:0.0000) | VAL_AUC:0.7992 PRC:0.7884 F1:0.7266
Ep 30 [lr=2.00e-04] | L:0.534 (BCE:0.532 REG:0.0015 LB:0.0000) | VAL_AUC:0.8016 PRC:0.7902 F1:0.7086
Ep 31 [lr=2.00e-04] | L:0.530 (BCE:0.529 REG:0.0015 LB:0.0000) | VAL_AUC:0.8025 PRC:0.7916 F1:0.7257
Ep 32 [lr=2.00e-04] | L:0.527 (BCE:0.526 REG:0.0015 LB:0.0000) | VAL_AUC:0.8052 PRC:0.7943 F1:0.7327
