[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold3_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold3_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:0 | fold=3
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.778 (BCE:0.689 REG:0.0882 LB:0.0000) | VAL_AUC:0.6731 PRC:0.6606 F1:0.6138
Ep 02 [lr=6.50e-05] | L:0.692 (BCE:0.639 REG:0.0529 LB:0.0000) | VAL_AUC:0.7515 PRC:0.7426 F1:0.6668
Ep 03 [lr=1.10e-04] | L:0.609 (BCE:0.603 REG:0.0065 LB:0.0000) | VAL_AUC:0.7630 PRC:0.7565 F1:0.6689
Ep 04 [lr=1.55e-04] | L:0.579 (BCE:0.577 REG:0.0027 LB:0.0000) | VAL_AUC:0.8183 PRC:0.8047 F1:0.7303
Ep 05 [lr=2.00e-04] | L:0.536 (BCE:0.533 REG:0.0032 LB:0.0000) | VAL_AUC:0.8338 PRC:0.8228 F1:0.7584
Ep 06 [lr=2.00e-04] | L:0.517 (BCE:0.514 REG:0.0030 LB:0.0000) | VAL_AUC:0.8397 PRC:0.8307 F1:0.7596
Ep 07 [lr=2.00e-04] | L:0.505 (BCE:0.502 REG:0.0029 LB:0.0000) | VAL_AUC:0.8468 PRC:0.8376 F1:0.7671
Ep 08 [lr=2.00e-04] | L:0.493 (BCE:0.490 REG:0.0029 LB:0.0000) | VAL_AUC:0.8534 PRC:0.8449 F1:0.7758
Ep 09 [lr=2.00e-04] | L:0.484 (BCE:0.481 REG:0.0027 LB:0.0000) | VAL_AUC:0.8567 PRC:0.8499 F1:0.7779
Ep 10 [lr=2.00e-04] | L:0.477 (BCE:0.475 REG:0.0027 LB:0.0000) | VAL_AUC:0.8572 PRC:0.8501 F1:0.7757
Ep 11 [lr=2.00e-04] | L:0.472 (BCE:0.470 REG:0.0025 LB:0.0000) | VAL_AUC:0.8606 PRC:0.8552 F1:0.7793
Ep 12 [lr=2.00e-04] | L:0.466 (BCE:0.463 REG:0.0025 LB:0.0000) | VAL_AUC:0.8657 PRC:0.8590 F1:0.7933
Ep 13 [lr=2.00e-04] | L:0.460 (BCE:0.457 REG:0.0026 LB:0.0000) | VAL_AUC:0.8700 PRC:0.8645 F1:0.7934
