[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold2_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold2_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:0 | fold=2
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 37 [lr=2.00e-04] | L:0.383 (BCE:0.381 REG:0.0021 LB:0.0000) | VAL_AUC:0.8896 PRC:0.8857 F1:0.8154
Ep 38 [lr=1.00e-04] | L:0.381 (BCE:0.379 REG:0.0020 LB:0.0000) | VAL_AUC:0.8883 PRC:0.8846 F1:0.8154
Ep 39 [lr=1.00e-04] | L:0.372 (BCE:0.370 REG:0.0019 LB:0.0000) | VAL_AUC:0.8914 PRC:0.8872 F1:0.8162
Ep 40 [lr=1.00e-04] | L:0.368 (BCE:0.366 REG:0.0019 LB:0.0000) | VAL_AUC:0.8913 PRC:0.8875 F1:0.8139
Ep 41 [lr=1.00e-04] | L:0.366 (BCE:0.364 REG:0.0019 LB:0.0000) | VAL_AUC:0.8916 PRC:0.8876 F1:0.8121
Ep 42 [lr=1.00e-04] | L:0.365 (BCE:0.363 REG:0.0019 LB:0.0000) | VAL_AUC:0.8921 PRC:0.8885 F1:0.8143
Ep 43 [lr=1.00e-04] | L:0.363 (BCE:0.361 REG:0.0019 LB:0.0000) | VAL_AUC:0.8913 PRC:0.8871 F1:0.8140
Ep 44 [lr=1.00e-04] | L:0.363 (BCE:0.361 REG:0.0019 LB:0.0000) | VAL_AUC:0.8919 PRC:0.8875 F1:0.8129
Ep 45 [lr=1.00e-04] | L:0.360 (BCE:0.359 REG:0.0019 LB:0.0000) | VAL_AUC:0.8927 PRC:0.8889 F1:0.8151
Ep 46 [lr=1.00e-04] | L:0.359 (BCE:0.358 REG:0.0019 LB:0.0000) | VAL_AUC:0.8921 PRC:0.8878 F1:0.8162
Ep 47 [lr=1.00e-04] | L:0.359 (BCE:0.357 REG:0.0019 LB:0.0000) | VAL_AUC:0.8920 PRC:0.8883 F1:0.8124
Ep 48 [lr=1.00e-04] | L:0.358 (BCE:0.356 REG:0.0019 LB:0.0000) | VAL_AUC:0.8918 PRC:0.8880 F1:0.8138
Ep 49 [lr=5.00e-05] | L:0.356 (BCE:0.354 REG:0.0019 LB:0.0000) | VAL_AUC:0.8922 PRC:0.8880 F1:0.8145
Ep 50 [lr=5.00e-05] | L:0.350 (BCE:0.348 REG:0.0019 LB:0.0000) | VAL_AUC:0.8929 PRC:0.8888 F1:0.8157
Ep 51 [lr=5.00e-05] | L:0.348 (BCE:0.346 REG:0.0019 LB:0.0000) | VAL_AUC:0.8928 PRC:0.8890 F1:0.8150
Ep 52 [lr=5.00e-05] | L:0.348 (BCE:0.346 REG:0.0019 LB:0.0000) | VAL_AUC:0.8933 PRC:0.8894 F1:0.8154
Ep 53 [lr=5.00e-05] | L:0.346 (BCE:0.344 REG:0.0019 LB:0.0000) | VAL_AUC:0.8926 PRC:0.8887 F1:0.8145
Ep 54 [lr=5.00e-05] | L:0.346 (BCE:0.344 REG:0.0019 LB:0.0000) | VAL_AUC:0.8928 PRC:0.8888 F1:0.8149
Ep 55 [lr=5.00e-05] | L:0.345 (BCE:0.343 REG:0.0019 LB:0.0000) | VAL_AUC:0.8926 PRC:0.8886 F1:0.8139
Ep 56 [lr=2.50e-05] | L:0.344 (BCE:0.342 REG:0.0019 LB:0.0000) | VAL_AUC:0.8925 PRC:0.8889 F1:0.8150
Ep 57 [lr=2.50e-05] | L:0.340 (BCE:0.338 REG:0.0019 LB:0.0000) | VAL_AUC:0.8929 PRC:0.8889 F1:0.8160
Ep 58 [lr=2.50e-05] | L:0.340 (BCE:0.338 REG:0.0019 LB:0.0000) | VAL_AUC:0.8932 PRC:0.8891 F1:0.8166
Ep 59 [lr=2.50e-05] | L:0.340 (BCE:0.338 REG:0.0019 LB:0.0000) | VAL_AUC:0.8923 PRC:0.8886 F1:0.8126
Ep 60 [lr=1.25e-05] | L:0.339 (BCE:0.337 REG:0.0019 LB:0.0000) | VAL_AUC:0.8930 PRC:0.8892 F1:0.8160
Ep 61 [lr=1.25e-05] | L:0.336 (BCE:0.334 REG:0.0019 LB:0.0000) | VAL_AUC:0.8930 PRC:0.8890 F1:0.8147
Ep 62 [lr=1.25e-05] | L:0.336 (BCE:0.334 REG:0.0019 LB:0.0000) | VAL_AUC:0.8933 PRC:0.8894 F1:0.8158
Early stop at epoch 62

最优 AUC: 0.8933  模型: results_operator_moe/MCF7/no_moe_r8_k4_Fold2_5fold.pt
