[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold1_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold1_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:2 | fold=1
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.782 (BCE:0.694 REG:0.0882 LB:0.0000) | VAL_AUC:0.6223 PRC:0.6083 F1:0.4964
Ep 02 [lr=6.50e-05] | L:0.714 (BCE:0.664 REG:0.0495 LB:0.0000) | VAL_AUC:0.6965 PRC:0.6804 F1:0.6239
Ep 03 [lr=1.10e-04] | L:0.643 (BCE:0.639 REG:0.0040 LB:0.0000) | VAL_AUC:0.7047 PRC:0.6947 F1:0.6350
Ep 04 [lr=1.55e-04] | L:0.631 (BCE:0.630 REG:0.0006 LB:0.0000) | VAL_AUC:0.7075 PRC:0.6979 F1:0.6575
Ep 05 [lr=2.00e-04] | L:0.627 (BCE:0.626 REG:0.0003 LB:0.0000) | VAL_AUC:0.7088 PRC:0.6992 F1:0.6330
Ep 06 [lr=2.00e-04] | L:0.623 (BCE:0.623 REG:0.0002 LB:0.0000) | VAL_AUC:0.7106 PRC:0.7012 F1:0.6519
Ep 07 [lr=2.00e-04] | L:0.621 (BCE:0.621 REG:0.0001 LB:0.0000) | VAL_AUC:0.7106 PRC:0.7020 F1:0.6079
Ep 08 [lr=2.00e-04] | L:0.620 (BCE:0.620 REG:0.0002 LB:0.0000) | VAL_AUC:0.7099 PRC:0.7012 F1:0.5823
Ep 09 [lr=2.00e-04] | L:0.617 (BCE:0.616 REG:0.0008 LB:0.0000) | VAL_AUC:0.7190 PRC:0.7069 F1:0.6445
Ep 10 [lr=2.00e-04] | L:0.609 (BCE:0.608 REG:0.0013 LB:0.0000) | VAL_AUC:0.7409 PRC:0.7236 F1:0.6942
Ep 11 [lr=2.00e-04] | L:0.592 (BCE:0.589 REG:0.0024 LB:0.0000) | VAL_AUC:0.7660 PRC:0.7443 F1:0.7007
Ep 12 [lr=2.00e-04] | L:0.575 (BCE:0.572 REG:0.0024 LB:0.0000) | VAL_AUC:0.7710 PRC:0.7531 F1:0.6946
Ep 13 [lr=2.00e-04] | L:0.563 (BCE:0.560 REG:0.0024 LB:0.0000) | VAL_AUC:0.7911 PRC:0.7731 F1:0.7183
Ep 14 [lr=2.00e-04] | L:0.552 (BCE:0.550 REG:0.0024 LB:0.0000) | VAL_AUC:0.7994 PRC:0.7838 F1:0.7233
Ep 15 [lr=2.00e-04] | L:0.542 (BCE:0.540 REG:0.0024 LB:0.0000) | VAL_AUC:0.8074 PRC:0.7934 F1:0.7235
Ep 16 [lr=2.00e-04] | L:0.534 (BCE:0.531 REG:0.0024 LB:0.0000) | VAL_AUC:0.8131 PRC:0.8001 F1:0.7339
Ep 17 [lr=2.00e-04] | L:0.525 (BCE:0.523 REG:0.0024 LB:0.0000) | VAL_AUC:0.8207 PRC:0.8066 F1:0.7454
Ep 18 [lr=2.00e-04] | L:0.518 (BCE:0.515 REG:0.0023 LB:0.0000) | VAL_AUC:0.8212 PRC:0.8091 F1:0.7453
Ep 19 [lr=2.00e-04] | L:0.511 (BCE:0.508 REG:0.0023 LB:0.0000) | VAL_AUC:0.8244 PRC:0.8125 F1:0.7487
Ep 20 [lr=2.00e-04] | L:0.505 (BCE:0.503 REG:0.0022 LB:0.0000) | VAL_AUC:0.8304 PRC:0.8183 F1:0.7433
Ep 21 [lr=2.00e-04] | L:0.499 (BCE:0.497 REG:0.0021 LB:0.0000) | VAL_AUC:0.8332 PRC:0.8213 F1:0.7515
Ep 22 [lr=2.00e-04] | L:0.494 (BCE:0.492 REG:0.0021 LB:0.0000) | VAL_AUC:0.8345 PRC:0.8218 F1:0.7582
Ep 23 [lr=2.00e-04] | L:0.488 (BCE:0.486 REG:0.0021 LB:0.0000) | VAL_AUC:0.8391 PRC:0.8283 F1:0.7547
Ep 24 [lr=2.00e-04] | L:0.484 (BCE:0.482 REG:0.0021 LB:0.0000) | VAL_AUC:0.8392 PRC:0.8282 F1:0.7552
Ep 25 [lr=2.00e-04] | L:0.481 (BCE:0.479 REG:0.0020 LB:0.0000) | VAL_AUC:0.8387 PRC:0.8282 F1:0.7579
Ep 26 [lr=2.00e-04] | L:0.478 (BCE:0.476 REG:0.0020 LB:0.0000) | VAL_AUC:0.8391 PRC:0.8286 F1:0.7543
Ep 27 [lr=2.00e-04] | L:0.473 (BCE:0.471 REG:0.0020 LB:0.0000) | VAL_AUC:0.8414 PRC:0.8306 F1:0.7652
Ep 28 [lr=2.00e-04] | L:0.471 (BCE:0.469 REG:0.0019 LB:0.0000) | VAL_AUC:0.8457 PRC:0.8350 F1:0.7651
Ep 29 [lr=2.00e-04] | L:0.466 (BCE:0.464 REG:0.0019 LB:0.0000) | VAL_AUC:0.8460 PRC:0.8348 F1:0.7682
Ep 30 [lr=2.00e-04] | L:0.464 (BCE:0.462 REG:0.0019 LB:0.0000) | VAL_AUC:0.8465 PRC:0.8361 F1:0.7682
Ep 31 [lr=2.00e-04] | L:0.460 (BCE:0.459 REG:0.0019 LB:0.0000) | VAL_AUC:0.8468 PRC:0.8352 F1:0.7618
Ep 32 [lr=2.00e-04] | L:0.457 (BCE:0.455 REG:0.0019 LB:0.0000) | VAL_AUC:0.8466 PRC:0.8363 F1:0.7578
Ep 33 [lr=2.00e-04] | L:0.455 (BCE:0.453 REG:0.0019 LB:0.0000) | VAL_AUC:0.8488 PRC:0.8379 F1:0.7727
Ep 34 [lr=2.00e-04] | L:0.453 (BCE:0.451 REG:0.0019 LB:0.0000) | VAL_AUC:0.8515 PRC:0.8413 F1:0.7743
Ep 35 [lr=2.00e-04] | L:0.449 (BCE:0.447 REG:0.0019 LB:0.0000) | VAL_AUC:0.8513 PRC:0.8402 F1:0.7737
Ep 36 [lr=2.00e-04] | L:0.447 (BCE:0.445 REG:0.0018 LB:0.0000) | VAL_AUC:0.8517 PRC:0.8410 F1:0.7735
Ep 37 [lr=2.00e-04] | L:0.445 (BCE:0.443 REG:0.0018 LB:0.0000) | VAL_AUC:0.8516 PRC:0.8411 F1:0.7720
Ep 38 [lr=2.00e-04] | L:0.443 (BCE:0.441 REG:0.0018 LB:0.0000) | VAL_AUC:0.8528 PRC:0.8425 F1:0.7705
Ep 39 [lr=2.00e-04] | L:0.440 (BCE:0.438 REG:0.0018 LB:0.0000) | VAL_AUC:0.8527 PRC:0.8423 F1:0.7746
Ep 40 [lr=2.00e-04] | L:0.437 (BCE:0.435 REG:0.0018 LB:0.0000) | VAL_AUC:0.8544 PRC:0.8438 F1:0.7796
Ep 41 [lr=2.00e-04] | L:0.434 (BCE:0.433 REG:0.0018 LB:0.0000) | VAL_AUC:0.8541 PRC:0.8437 F1:0.7759
Ep 42 [lr=2.00e-04] | L:0.433 (BCE:0.431 REG:0.0018 LB:0.0000) | VAL_AUC:0.8538 PRC:0.8433 F1:0.7704
Ep 43 [lr=2.00e-04] | L:0.430 (BCE:0.428 REG:0.0018 LB:0.0000) | VAL_AUC:0.8540 PRC:0.8423 F1:0.7781
Ep 44 [lr=2.00e-04] | L:0.428 (BCE:0.426 REG:0.0018 LB:0.0000) | VAL_AUC:0.8567 PRC:0.8463 F1:0.7813
Ep 45 [lr=2.00e-04] | L:0.426 (BCE:0.424 REG:0.0018 LB:0.0000) | VAL_AUC:0.8544 PRC:0.8433 F1:0.7784
Ep 46 [lr=2.00e-04] | L:0.424 (BCE:0.422 REG:0.0018 LB:0.0000) | VAL_AUC:0.8555 PRC:0.8446 F1:0.7821
Ep 47 [lr=2.00e-04] | L:0.421 (BCE:0.419 REG:0.0018 LB:0.0000) | VAL_AUC:0.8561 PRC:0.8445 F1:0.7766
Ep 48 [lr=1.00e-04] | L:0.418 (BCE:0.416 REG:0.0018 LB:0.0000) | VAL_AUC:0.8563 PRC:0.8446 F1:0.7779
Ep 49 [lr=1.00e-04] | L:0.409 (BCE:0.407 REG:0.0017 LB:0.0000) | VAL_AUC:0.8566 PRC:0.8463 F1:0.7781
Ep 50 [lr=1.00e-04] | L:0.407 (BCE:0.405 REG:0.0017 LB:0.0000) | VAL_AUC:0.8577 PRC:0.8475 F1:0.7750
Ep 51 [lr=1.00e-04] | L:0.404 (BCE:0.402 REG:0.0017 LB:0.0000) | VAL_AUC:0.8587 PRC:0.8473 F1:0.7767
Ep 52 [lr=1.00e-04] | L:0.402 (BCE:0.401 REG:0.0017 LB:0.0000) | VAL_AUC:0.8590 PRC:0.8486 F1:0.7783
Ep 53 [lr=1.00e-04] | L:0.401 (BCE:0.400 REG:0.0017 LB:0.0000) | VAL_AUC:0.8579 PRC:0.8470 F1:0.7738
Ep 54 [lr=1.00e-04] | L:0.400 (BCE:0.398 REG:0.0017 LB:0.0000) | VAL_AUC:0.8589 PRC:0.8481 F1:0.7761
Ep 55 [lr=1.00e-04] | L:0.399 (BCE:0.397 REG:0.0017 LB:0.0000) | VAL_AUC:0.8583 PRC:0.8475 F1:0.7806
Ep 56 [lr=5.00e-05] | L:0.398 (BCE:0.397 REG:0.0017 LB:0.0000) | VAL_AUC:0.8590 PRC:0.8482 F1:0.7802
Ep 57 [lr=5.00e-05] | L:0.392 (BCE:0.390 REG:0.0017 LB:0.0000) | VAL_AUC:0.8584 PRC:0.8478 F1:0.7779
Ep 58 [lr=5.00e-05] | L:0.391 (BCE:0.390 REG:0.0016 LB:0.0000) | VAL_AUC:0.8587 PRC:0.8474 F1:0.7804
Ep 59 [lr=5.00e-05] | L:0.391 (BCE:0.389 REG:0.0016 LB:0.0000) | VAL_AUC:0.8600 PRC:0.8496 F1:0.7780
Ep 60 [lr=5.00e-05] | L:0.388 (BCE:0.387 REG:0.0016 LB:0.0000) | VAL_AUC:0.8587 PRC:0.8472 F1:0.7813
Ep 61 [lr=5.00e-05] | L:0.389 (BCE:0.387 REG:0.0016 LB:0.0000) | VAL_AUC:0.8578 PRC:0.8473 F1:0.7768
Ep 62 [lr=5.00e-05] | L:0.387 (BCE:0.386 REG:0.0016 LB:0.0000) | VAL_AUC:0.8596 PRC:0.8489 F1:0.7778
Ep 63 [lr=2.50e-05] | L:0.386 (BCE:0.385 REG:0.0016 LB:0.0000) | VAL_AUC:0.8593 PRC:0.8482 F1:0.7803
Ep 64 [lr=2.50e-05] | L:0.384 (BCE:0.382 REG:0.0016 LB:0.0000) | VAL_AUC:0.8595 PRC:0.8484 F1:0.7798
Ep 65 [lr=2.50e-05] | L:0.384 (BCE:0.382 REG:0.0016 LB:0.0000) | VAL_AUC:0.8597 PRC:0.8491 F1:0.7796
Ep 66 [lr=2.50e-05] | L:0.383 (BCE:0.381 REG:0.0016 LB:0.0000) | VAL_AUC:0.8591 PRC:0.8485 F1:0.7800
Ep 67 [lr=1.25e-05] | L:0.382 (BCE:0.381 REG:0.0016 LB:0.0000) | VAL_AUC:0.8589 PRC:0.8482 F1:0.7795
Ep 68 [lr=1.25e-05] | L:0.380 (BCE:0.379 REG:0.0016 LB:0.0000) | VAL_AUC:0.8597 PRC:0.8490 F1:0.7801
Ep 69 [lr=1.25e-05] | L:0.380 (BCE:0.378 REG:0.0016 LB:0.0000) | VAL_AUC:0.8597 PRC:0.8487 F1:0.7806
Early stop at epoch 69

最优 AUC: 0.8600  模型: results_operator_moe/A549/no_moe_r8_k4_Fold1_5fold.pt
