[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold4_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold4_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:0 | fold=4
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.778 (BCE:0.689 REG:0.0882 LB:0.0000) | VAL_AUC:0.6755 PRC:0.6675 F1:0.6141
Ep 02 [lr=6.50e-05] | L:0.690 (BCE:0.640 REG:0.0500 LB:0.0000) | VAL_AUC:0.7536 PRC:0.7478 F1:0.6301
Ep 03 [lr=1.10e-04] | L:0.609 (BCE:0.604 REG:0.0049 LB:0.0000) | VAL_AUC:0.7619 PRC:0.7598 F1:0.6701
Ep 04 [lr=1.55e-04] | L:0.583 (BCE:0.581 REG:0.0020 LB:0.0000) | VAL_AUC:0.8072 PRC:0.7975 F1:0.7243
Ep 05 [lr=2.00e-04] | L:0.539 (BCE:0.537 REG:0.0027 LB:0.0000) | VAL_AUC:0.8290 PRC:0.8151 F1:0.7462
Ep 06 [lr=2.00e-04] | L:0.518 (BCE:0.515 REG:0.0021 LB:0.0000) | VAL_AUC:0.8416 PRC:0.8343 F1:0.7597
Ep 07 [lr=2.00e-04] | L:0.505 (BCE:0.503 REG:0.0021 LB:0.0000) | VAL_AUC:0.8527 PRC:0.8442 F1:0.7791
Ep 08 [lr=2.00e-04] | L:0.493 (BCE:0.491 REG:0.0020 LB:0.0000) | VAL_AUC:0.8589 PRC:0.8522 F1:0.7810
Ep 09 [lr=2.00e-04] | L:0.485 (BCE:0.483 REG:0.0019 LB:0.0000) | VAL_AUC:0.8573 PRC:0.8530 F1:0.7774
Ep 10 [lr=2.00e-04] | L:0.478 (BCE:0.476 REG:0.0019 LB:0.0000) | VAL_AUC:0.8645 PRC:0.8609 F1:0.7899
Ep 11 [lr=2.00e-04] | L:0.472 (BCE:0.470 REG:0.0017 LB:0.0000) | VAL_AUC:0.8659 PRC:0.8617 F1:0.7835
Ep 12 [lr=2.00e-04] | L:0.466 (BCE:0.465 REG:0.0018 LB:0.0000) | VAL_AUC:0.8697 PRC:0.8655 F1:0.7857
Ep 13 [lr=2.00e-04] | L:0.462 (BCE:0.460 REG:0.0017 LB:0.0000) | VAL_AUC:0.8716 PRC:0.8672 F1:0.7903
Ep 14 [lr=2.00e-04] | L:0.457 (BCE:0.455 REG:0.0017 LB:0.0000) | VAL_AUC:0.8754 PRC:0.8719 F1:0.7904
Ep 15 [lr=2.00e-04] | L:0.453 (BCE:0.451 REG:0.0017 LB:0.0000) | VAL_AUC:0.8760 PRC:0.8724 F1:0.8018
Ep 16 [lr=2.00e-04] | L:0.449 (BCE:0.447 REG:0.0017 LB:0.0000) | VAL_AUC:0.8781 PRC:0.8751 F1:0.7996
Ep 17 [lr=2.00e-04] | L:0.445 (BCE:0.443 REG:0.0017 LB:0.0000) | VAL_AUC:0.8778 PRC:0.8735 F1:0.8002
Ep 18 [lr=2.00e-04] | L:0.439 (BCE:0.438 REG:0.0016 LB:0.0000) | VAL_AUC:0.8796 PRC:0.8756 F1:0.7930
Ep 19 [lr=2.00e-04] | L:0.437 (BCE:0.436 REG:0.0017 LB:0.0000) | VAL_AUC:0.8809 PRC:0.8775 F1:0.7948
Ep 20 [lr=2.00e-04] | L:0.434 (BCE:0.432 REG:0.0016 LB:0.0000) | VAL_AUC:0.8816 PRC:0.8787 F1:0.8042
Ep 21 [lr=2.00e-04] | L:0.430 (BCE:0.429 REG:0.0016 LB:0.0000) | VAL_AUC:0.8834 PRC:0.8802 F1:0.8055
Ep 22 [lr=2.00e-04] | L:0.427 (BCE:0.426 REG:0.0016 LB:0.0000) | VAL_AUC:0.8842 PRC:0.8809 F1:0.8056
Ep 23 [lr=2.00e-04] | L:0.424 (BCE:0.422 REG:0.0016 LB:0.0000) | VAL_AUC:0.8791 PRC:0.8759 F1:0.7908
Ep 24 [lr=2.00e-04] | L:0.421 (BCE:0.420 REG:0.0016 LB:0.0000) | VAL_AUC:0.8826 PRC:0.8791 F1:0.8020
Ep 25 [lr=2.00e-04] | L:0.419 (BCE:0.417 REG:0.0016 LB:0.0000) | VAL_AUC:0.8826 PRC:0.8792 F1:0.7988
Ep 26 [lr=2.00e-04] | L:0.415 (BCE:0.413 REG:0.0016 LB:0.0000) | VAL_AUC:0.8860 PRC:0.8832 F1:0.8080
Ep 27 [lr=2.00e-04] | L:0.412 (BCE:0.411 REG:0.0015 LB:0.0000) | VAL_AUC:0.8856 PRC:0.8831 F1:0.8069
Ep 28 [lr=2.00e-04] | L:0.410 (BCE:0.408 REG:0.0016 LB:0.0000) | VAL_AUC:0.8869 PRC:0.8835 F1:0.8108
Ep 29 [lr=2.00e-04] | L:0.407 (BCE:0.406 REG:0.0015 LB:0.0000) | VAL_AUC:0.8846 PRC:0.8819 F1:0.8069
Ep 30 [lr=2.00e-04] | L:0.404 (BCE:0.402 REG:0.0015 LB:0.0000) | VAL_AUC:0.8870 PRC:0.8839 F1:0.8060
Ep 31 [lr=2.00e-04] | L:0.401 (BCE:0.400 REG:0.0015 LB:0.0000) | VAL_AUC:0.8863 PRC:0.8838 F1:0.8087
Ep 32 [lr=2.00e-04] | L:0.401 (BCE:0.399 REG:0.0015 LB:0.0000) | VAL_AUC:0.8889 PRC:0.8853 F1:0.8118
Ep 33 [lr=2.00e-04] | L:0.397 (BCE:0.396 REG:0.0015 LB:0.0000) | VAL_AUC:0.8863 PRC:0.8824 F1:0.8086
Ep 34 [lr=2.00e-04] | L:0.394 (BCE:0.392 REG:0.0015 LB:0.0000) | VAL_AUC:0.8868 PRC:0.8840 F1:0.8101
Ep 35 [lr=2.00e-04] | L:0.392 (BCE:0.391 REG:0.0015 LB:0.0000) | VAL_AUC:0.8892 PRC:0.8863 F1:0.8100
Ep 36 [lr=2.00e-04] | L:0.389 (BCE:0.387 REG:0.0015 LB:0.0000) | VAL_AUC:0.8889 PRC:0.8861 F1:0.8099
Ep 37 [lr=2.00e-04] | L:0.386 (BCE:0.384 REG:0.0015 LB:0.0000) | VAL_AUC:0.8890 PRC:0.8864 F1:0.8064
Ep 38 [lr=2.00e-04] | L:0.385 (BCE:0.383 REG:0.0016 LB:0.0000) | VAL_AUC:0.8893 PRC:0.8857 F1:0.8120
Ep 39 [lr=2.00e-04] | L:0.382 (BCE:0.381 REG:0.0015 LB:0.0000) | VAL_AUC:0.8890 PRC:0.8855 F1:0.8114
Ep 40 [lr=2.00e-04] | L:0.380 (BCE:0.379 REG:0.0015 LB:0.0000) | VAL_AUC:0.8908 PRC:0.8875 F1:0.8133
Ep 41 [lr=2.00e-04] | L:0.378 (BCE:0.377 REG:0.0015 LB:0.0000) | VAL_AUC:0.8913 PRC:0.8885 F1:0.8105
Ep 42 [lr=2.00e-04] | L:0.376 (BCE:0.374 REG:0.0015 LB:0.0000) | VAL_AUC:0.8924 PRC:0.8899 F1:0.8172
Ep 43 [lr=2.00e-04] | L:0.374 (BCE:0.372 REG:0.0015 LB:0.0000) | VAL_AUC:0.8920 PRC:0.8884 F1:0.8126
Ep 44 [lr=2.00e-04] | L:0.371 (BCE:0.370 REG:0.0015 LB:0.0000) | VAL_AUC:0.8901 PRC:0.8867 F1:0.8132
Ep 45 [lr=2.00e-04] | L:0.370 (BCE:0.369 REG:0.0015 LB:0.0000) | VAL_AUC:0.8911 PRC:0.8875 F1:0.8117
Ep 46 [lr=1.00e-04] | L:0.368 (BCE:0.366 REG:0.0017 LB:0.0000) | VAL_AUC:0.8910 PRC:0.8867 F1:0.8123
Ep 47 [lr=1.00e-04] | L:0.357 (BCE:0.356 REG:0.0015 LB:0.0000) | VAL_AUC:0.8930 PRC:0.8896 F1:0.8145
Ep 48 [lr=1.00e-04] | L:0.355 (BCE:0.353 REG:0.0015 LB:0.0000) | VAL_AUC:0.8928 PRC:0.8897 F1:0.8120
Ep 49 [lr=1.00e-04] | L:0.353 (BCE:0.351 REG:0.0015 LB:0.0000) | VAL_AUC:0.8931 PRC:0.8897 F1:0.8142
Ep 50 [lr=1.00e-04] | L:0.353 (BCE:0.351 REG:0.0015 LB:0.0000) | VAL_AUC:0.8934 PRC:0.8897 F1:0.8145
Ep 51 [lr=1.00e-04] | L:0.351 (BCE:0.349 REG:0.0015 LB:0.0000) | VAL_AUC:0.8937 PRC:0.8897 F1:0.8169
Ep 52 [lr=1.00e-04] | L:0.349 (BCE:0.347 REG:0.0015 LB:0.0000) | VAL_AUC:0.8929 PRC:0.8895 F1:0.8131
Ep 53 [lr=1.00e-04] | L:0.347 (BCE:0.346 REG:0.0015 LB:0.0000) | VAL_AUC:0.8921 PRC:0.8884 F1:0.8140
Ep 54 [lr=1.00e-04] | L:0.349 (BCE:0.347 REG:0.0015 LB:0.0000) | VAL_AUC:0.8917 PRC:0.8880 F1:0.8114
Ep 55 [lr=5.00e-05] | L:0.346 (BCE:0.345 REG:0.0015 LB:0.0000) | VAL_AUC:0.8930 PRC:0.8891 F1:0.8148
Ep 56 [lr=5.00e-05] | L:0.339 (BCE:0.338 REG:0.0015 LB:0.0000) | VAL_AUC:0.8938 PRC:0.8904 F1:0.8138
Ep 57 [lr=5.00e-05] | L:0.338 (BCE:0.337 REG:0.0014 LB:0.0000) | VAL_AUC:0.8932 PRC:0.8893 F1:0.8133
Ep 58 [lr=5.00e-05] | L:0.338 (BCE:0.337 REG:0.0015 LB:0.0000) | VAL_AUC:0.8933 PRC:0.8896 F1:0.8136
Ep 59 [lr=5.00e-05] | L:0.337 (BCE:0.335 REG:0.0015 LB:0.0000) | VAL_AUC:0.8933 PRC:0.8896 F1:0.8140
