[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt
  [CL] SpectrumDirectionCL 已启用，lam_cl=0.1

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,218 | device=cuda:2 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 33 [lr=2.00e-04] | L:0.609 (BCE:0.601 REG:0.0008 LB:0.0000 CL:0.0771) | VAL_AUC:0.8732 PRC:0.8586 F1:0.7979
Ep 34 [lr=2.00e-04] | L:0.609 (BCE:0.600 REG:0.0009 LB:0.0000 CL:0.0767) | VAL_AUC:0.8694 PRC:0.8555 F1:0.7950
Ep 35 [lr=2.00e-04] | L:0.608 (BCE:0.600 REG:0.0009 LB:0.0000 CL:0.0764) | VAL_AUC:0.8735 PRC:0.8587 F1:0.8079
Ep 36 [lr=2.00e-04] | L:0.607 (BCE:0.598 REG:0.0008 LB:0.0000 CL:0.0758) | VAL_AUC:0.8742 PRC:0.8599 F1:0.8028
Ep 37 [lr=2.00e-04] | L:0.606 (BCE:0.598 REG:0.0008 LB:0.0000 CL:0.0754) | VAL_AUC:0.8728 PRC:0.8579 F1:0.8042
Ep 38 [lr=2.00e-04] | L:0.605 (BCE:0.597 REG:0.0009 LB:0.0000 CL:0.0750) | VAL_AUC:0.8721 PRC:0.8572 F1:0.8013
Ep 39 [lr=2.00e-04] | L:0.605 (BCE:0.597 REG:0.0009 LB:0.0000 CL:0.0747) | VAL_AUC:0.8733 PRC:0.8584 F1:0.7986
Ep 40 [lr=1.00e-04] | L:0.604 (BCE:0.596 REG:0.0009 LB:0.0000 CL:0.0744) | VAL_AUC:0.8700 PRC:0.8561 F1:0.7956
Ep 41 [lr=1.00e-04] | L:0.601 (BCE:0.593 REG:0.0008 LB:0.0000 CL:0.0728) | VAL_AUC:0.8736 PRC:0.8586 F1:0.7990
Ep 42 [lr=1.00e-04] | L:0.601 (BCE:0.593 REG:0.0008 LB:0.0000 CL:0.0725) | VAL_AUC:0.8742 PRC:0.8610 F1:0.7985
Ep 43 [lr=1.00e-04] | L:0.600 (BCE:0.592 REG:0.0008 LB:0.0000 CL:0.0723) | VAL_AUC:0.8744 PRC:0.8593 F1:0.8018
Ep 44 [lr=1.00e-04] | L:0.600 (BCE:0.592 REG:0.0008 LB:0.0000 CL:0.0719) | VAL_AUC:0.8745 PRC:0.8596 F1:0.8060
Ep 45 [lr=1.00e-04] | L:0.599 (BCE:0.591 REG:0.0008 LB:0.0000 CL:0.0719) | VAL_AUC:0.8763 PRC:0.8613 F1:0.8060
Ep 46 [lr=1.00e-04] | L:0.599 (BCE:0.591 REG:0.0008 LB:0.0000 CL:0.0715) | VAL_AUC:0.8755 PRC:0.8612 F1:0.8020
Ep 47 [lr=1.00e-04] | L:0.599 (BCE:0.591 REG:0.0008 LB:0.0000 CL:0.0716) | VAL_AUC:0.8753 PRC:0.8598 F1:0.8063
Ep 48 [lr=1.00e-04] | L:0.598 (BCE:0.590 REG:0.0008 LB:0.0000 CL:0.0712) | VAL_AUC:0.8777 PRC:0.8632 F1:0.8089
Ep 49 [lr=1.00e-04] | L:0.598 (BCE:0.590 REG:0.0008 LB:0.0000 CL:0.0711) | VAL_AUC:0.8775 PRC:0.8629 F1:0.8051
Ep 50 [lr=1.00e-04] | L:0.597 (BCE:0.589 REG:0.0008 LB:0.0000 CL:0.0710) | VAL_AUC:0.8760 PRC:0.8621 F1:0.8038
Ep 51 [lr=1.00e-04] | L:0.597 (BCE:0.590 REG:0.0008 LB:0.0000 CL:0.0710) | VAL_AUC:0.8760 PRC:0.8615 F1:0.8060
Ep 52 [lr=5.00e-05] | L:0.597 (BCE:0.589 REG:0.0008 LB:0.0000 CL:0.0707) | VAL_AUC:0.8761 PRC:0.8617 F1:0.8060
Ep 53 [lr=5.00e-05] | L:0.595 (BCE:0.587 REG:0.0008 LB:0.0000 CL:0.0697) | VAL_AUC:0.8776 PRC:0.8629 F1:0.8071
Ep 54 [lr=5.00e-05] | L:0.594 (BCE:0.587 REG:0.0008 LB:0.0000 CL:0.0696) | VAL_AUC:0.8769 PRC:0.8616 F1:0.8055
Ep 55 [lr=5.00e-05] | L:0.594 (BCE:0.587 REG:0.0008 LB:0.0000 CL:0.0695) | VAL_AUC:0.8777 PRC:0.8627 F1:0.8079
Ep 56 [lr=2.50e-05] | L:0.594 (BCE:0.586 REG:0.0008 LB:0.0000 CL:0.0693) | VAL_AUC:0.8768 PRC:0.8613 F1:0.8071
Ep 57 [lr=2.50e-05] | L:0.593 (BCE:0.586 REG:0.0008 LB:0.0000 CL:0.0688) | VAL_AUC:0.8777 PRC:0.8622 F1:0.8085
Ep 58 [lr=2.50e-05] | L:0.593 (BCE:0.585 REG:0.0008 LB:0.0000 CL:0.0689) | VAL_AUC:0.8769 PRC:0.8609 F1:0.8096
Ep 59 [lr=2.50e-05] | L:0.593 (BCE:0.585 REG:0.0008 LB:0.0000 CL:0.0689) | VAL_AUC:0.8779 PRC:0.8624 F1:0.8064
Ep 60 [lr=2.50e-05] | L:0.593 (BCE:0.585 REG:0.0008 LB:0.0000 CL:0.0685) | VAL_AUC:0.8775 PRC:0.8620 F1:0.8111
Ep 61 [lr=2.50e-05] | L:0.593 (BCE:0.585 REG:0.0008 LB:0.0000 CL:0.0687) | VAL_AUC:0.8773 PRC:0.8611 F1:0.8089
Ep 62 [lr=2.50e-05] | L:0.593 (BCE:0.585 REG:0.0008 LB:0.0000 CL:0.0688) | VAL_AUC:0.8776 PRC:0.8621 F1:0.8076
Ep 63 [lr=1.25e-05] | L:0.592 (BCE:0.585 REG:0.0008 LB:0.0000 CL:0.0685) | VAL_AUC:0.8773 PRC:0.8616 F1:0.8087
Ep 64 [lr=1.25e-05] | L:0.592 (BCE:0.584 REG:0.0008 LB:0.0000 CL:0.0683) | VAL_AUC:0.8770 PRC:0.8613 F1:0.8066
Ep 65 [lr=1.25e-05] | L:0.592 (BCE:0.584 REG:0.0008 LB:0.0000 CL:0.0682) | VAL_AUC:0.8778 PRC:0.8621 F1:0.8082
Ep 66 [lr=1.25e-05] | L:0.591 (BCE:0.584 REG:0.0008 LB:0.0000 CL:0.0682) | VAL_AUC:0.8773 PRC:0.8613 F1:0.8101
Ep 67 [lr=6.25e-06] | L:0.592 (BCE:0.584 REG:0.0008 LB:0.0000 CL:0.0684) | VAL_AUC:0.8778 PRC:0.8620 F1:0.8081
