[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt
  [CL] SpectrumDirectionCL 已启用，lam_cl=0.1

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,218 | device=cuda:0 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 33 [lr=2.00e-04] | L:0.403 (BCE:0.393 REG:0.0020 LB:0.0000 CL:0.0736) | VAL_AUC:0.8880 PRC:0.8810 F1:0.8042
Ep 34 [lr=2.00e-04] | L:0.400 (BCE:0.391 REG:0.0019 LB:0.0000 CL:0.0731) | VAL_AUC:0.8881 PRC:0.8820 F1:0.8047
Ep 35 [lr=2.00e-04] | L:0.399 (BCE:0.390 REG:0.0019 LB:0.0000 CL:0.0730) | VAL_AUC:0.8908 PRC:0.8844 F1:0.8109
Ep 36 [lr=2.00e-04] | L:0.396 (BCE:0.387 REG:0.0020 LB:0.0000 CL:0.0724) | VAL_AUC:0.8892 PRC:0.8829 F1:0.8057
Ep 37 [lr=2.00e-04] | L:0.393 (BCE:0.384 REG:0.0019 LB:0.0000 CL:0.0719) | VAL_AUC:0.8900 PRC:0.8841 F1:0.8084
Ep 38 [lr=2.00e-04] | L:0.390 (BCE:0.381 REG:0.0019 LB:0.0000 CL:0.0714) | VAL_AUC:0.8889 PRC:0.8825 F1:0.8079
Ep 39 [lr=2.00e-04] | L:0.388 (BCE:0.379 REG:0.0020 LB:0.0000 CL:0.0713) | VAL_AUC:0.8911 PRC:0.8844 F1:0.8084
Ep 40 [lr=2.00e-04] | L:0.386 (BCE:0.377 REG:0.0020 LB:0.0000 CL:0.0709) | VAL_AUC:0.8905 PRC:0.8844 F1:0.8080
Ep 41 [lr=2.00e-04] | L:0.384 (BCE:0.375 REG:0.0019 LB:0.0000 CL:0.0703) | VAL_AUC:0.8919 PRC:0.8853 F1:0.8077
Ep 42 [lr=2.00e-04] | L:0.381 (BCE:0.372 REG:0.0019 LB:0.0000 CL:0.0699) | VAL_AUC:0.8909 PRC:0.8853 F1:0.7971
Ep 43 [lr=2.00e-04] | L:0.379 (BCE:0.370 REG:0.0019 LB:0.0000 CL:0.0694) | VAL_AUC:0.8917 PRC:0.8854 F1:0.8112
Ep 44 [lr=2.00e-04] | L:0.376 (BCE:0.368 REG:0.0019 LB:0.0000 CL:0.0692) | VAL_AUC:0.8909 PRC:0.8840 F1:0.8060
Ep 45 [lr=2.00e-04] | L:0.375 (BCE:0.366 REG:0.0019 LB:0.0000 CL:0.0690) | VAL_AUC:0.8931 PRC:0.8868 F1:0.8117
Ep 46 [lr=2.00e-04] | L:0.373 (BCE:0.365 REG:0.0019 LB:0.0000 CL:0.0687) | VAL_AUC:0.8912 PRC:0.8850 F1:0.8116
Ep 47 [lr=2.00e-04] | L:0.370 (BCE:0.361 REG:0.0020 LB:0.0000 CL:0.0680) | VAL_AUC:0.8928 PRC:0.8859 F1:0.8119
Ep 48 [lr=2.00e-04] | L:0.369 (BCE:0.360 REG:0.0020 LB:0.0000 CL:0.0679) | VAL_AUC:0.8933 PRC:0.8868 F1:0.8090
