[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:1 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 37 [lr=1.00e-04] | L:0.599 (BCE:0.599 REG:0.0006 LB:0.0000) | VAL_AUC:0.8720 PRC:0.8592 F1:0.7987
Ep 38 [lr=1.00e-04] | L:0.597 (BCE:0.596 REG:0.0006 LB:0.0000) | VAL_AUC:0.8731 PRC:0.8604 F1:0.8004
Ep 39 [lr=1.00e-04] | L:0.596 (BCE:0.595 REG:0.0005 LB:0.0000) | VAL_AUC:0.8737 PRC:0.8597 F1:0.8011
Ep 40 [lr=1.00e-04] | L:0.595 (BCE:0.595 REG:0.0006 LB:0.0000) | VAL_AUC:0.8745 PRC:0.8607 F1:0.8060
Ep 41 [lr=1.00e-04] | L:0.595 (BCE:0.595 REG:0.0005 LB:0.0000) | VAL_AUC:0.8754 PRC:0.8614 F1:0.8045
Ep 42 [lr=1.00e-04] | L:0.595 (BCE:0.594 REG:0.0006 LB:0.0000) | VAL_AUC:0.8719 PRC:0.8581 F1:0.7978
Ep 43 [lr=1.00e-04] | L:0.594 (BCE:0.594 REG:0.0006 LB:0.0000) | VAL_AUC:0.8750 PRC:0.8612 F1:0.8042
Ep 44 [lr=1.00e-04] | L:0.594 (BCE:0.593 REG:0.0006 LB:0.0000) | VAL_AUC:0.8734 PRC:0.8600 F1:0.8010
Ep 45 [lr=5.00e-05] | L:0.593 (BCE:0.593 REG:0.0006 LB:0.0000) | VAL_AUC:0.8742 PRC:0.8600 F1:0.8046
Ep 46 [lr=5.00e-05] | L:0.592 (BCE:0.591 REG:0.0005 LB:0.0000) | VAL_AUC:0.8746 PRC:0.8607 F1:0.8046
Ep 47 [lr=5.00e-05] | L:0.591 (BCE:0.591 REG:0.0005 LB:0.0000) | VAL_AUC:0.8745 PRC:0.8608 F1:0.8051
Ep 48 [lr=5.00e-05] | L:0.591 (BCE:0.591 REG:0.0005 LB:0.0000) | VAL_AUC:0.8741 PRC:0.8599 F1:0.8047
Ep 49 [lr=2.50e-05] | L:0.591 (BCE:0.591 REG:0.0005 LB:0.0000) | VAL_AUC:0.8749 PRC:0.8614 F1:0.8047
Ep 50 [lr=2.50e-05] | L:0.590 (BCE:0.590 REG:0.0005 LB:0.0000) | VAL_AUC:0.8745 PRC:0.8608 F1:0.8054
Ep 51 [lr=2.50e-05] | L:0.590 (BCE:0.589 REG:0.0005 LB:0.0000) | VAL_AUC:0.8751 PRC:0.8612 F1:0.8048
Early stop at epoch 51

最优 AUC: 0.8754  模型: results_operator_moe/MCF7/no_moe_r8_k4_Fold0_softlabel.pt
